Concelho,Datahora,M,FG,Via,Km,Natureza
Amarante,28-07-2017 19:42,1,0,-,-,Atropelamento de peões
Amarante,05-06-2017 11:10,0,1,A4,"66,500",Colisão traseira com outro veículo em movimento
Amarante,23-05-2017 13:00,1,0,caminho do Rio,-,Despiste simples
Amarante,04-12-2017 12:10,0,1,EN101,"146,300",Atropelamento de peões
Amarante,06-07-2017 16:50,1,0,EN101,"149,600",Despiste simples
Amarante,14-05-2017 20:45,0,1,EN15,"42,246",Colisão frontal
Amarante,09-03-2017 18:20,0,1,EN15,"49,700",Atropelamento de peões
Amarante,10-04-2017 10:00,0,1,EN15,"55,200",Colisão frontal
Amarante,08-03-2017 17:00,0,1,EN210,"34,930",Despiste simples
Amarante,20-02-2017 19:54,1,0,Rua amadeu de sousa cardoso,-,Atropelamento com fuga
Amarante,15-04-2017 07:50,1,0,Rua da Pena  - Lufrei - Amarante,-,Despiste simples
Amarante,01-07-2017 18:30,0,1,Rua S. Pedro da Lomba,-,Colisão lateral com outro veículo em movimento
Amarante,09-10-2017 15:55,1,0,Rua Tenente João Laranjeira,-,Colisão lateral com outro veículo em movimento
Baiao,15-09-2017 11:30,0,1,Rua da Quebrada,-,Colisão frontal
Felgueiras,19-04-2017 15:00,0,1,-,-,Colisão frontal
Felgueiras,27-07-2017 09:10,1,0,Avenida Dr. Magalhães Lemos,-,Atropelamento de peões
Felgueiras,11-07-2017 11:50,1,0,EN101-3,"8,900",Colisão lateral com outro veículo em movimento
Felgueiras,26-01-2017 18:15,0,1,Rua 25 de Abril,-,Atropelamento de peões
Felgueiras,06-01-2017 22:00,0,1,Rua Cabo Fonte Cova - Airães - Felgueiras,-,Despiste simples
Felgueiras,20-09-2017 13:40,0,1,Rua da Industria do Calçado,-,Atropelamento de peões
Felgueiras,14-01-2017 21:50,0,2,Rua de Padroso,-,Despiste simples
Felgueiras,06-10-2017 23:50,1,0,Rua de Torrados,-,Colisão frontal
Gondomar,11-09-2017 15:00,0,1,-,"163,000",Despiste simples
Gondomar,24-10-2017 17:50,0,1,Avenida Associação Comercial e Industrial de Gondomar 345,-,Atropelamento de peões
Gondomar,01-12-2017 08:57,0,1,Avenida Professor Aníbal Cavaco Silva 0,-,Atropelamento de peões
Gondomar,28-04-2017 20:30,0,1,Estrada Dom Miguel,-,Despiste com capotamento
Gondomar,06-10-2017 20:45,0,1,Estrada Dom Miguel,-,Colisão frontal
Gondomar,12-07-2017 11:50,1,0,Estrada Dom Miguel 1579,-,Colisão com outras situações
Gondomar,27-03-2017 15:00,0,6,Rua das Mimosas - São Pedro da Cova,-,Colisão frontal
Gondomar,01-08-2017 17:20,0,1,Rua de Santo Ovídio,-,Colisão frontal
Gondomar,11-02-2017 22:35,1,0,Rua de Tardariz,-,Despiste simples
Gondomar,20-05-2017 19:50,0,1,Rua Padre Augusto Maia 111,-,Despiste com colisão com veículo imobil. ou obstáculo
Gondomar,01-01-2017 18:29,0,1,Rua Padre Joaquim das Neves 1098,-,Atropelamento de peões
Gondomar,22-12-2017 19:11,0,1,Rua Padre Joaquim das Neves 61,-,Despiste com colisão com veículo imobil. ou obstáculo
Gondomar,30-10-2017 15:50,0,1,Rua Ranha 302,-,Atropelamento de peões
Gondomar,07-06-2017 15:10,0,1,rua rio ferreira,-,Colisão frontal
Gondomar,13-09-2017 19:40,0,1,Travessa Triana 101,-,Atropelamento de peões
Lousada,16-05-2017 08:30,1,0,-,-,Colisão traseira com outro veículo em movimento
Lousada,19-03-2017 02:30,0,1,A11,"70,116",Despiste simples
Lousada,13-08-2017 22:45,1,0,A42,"14,168",Colisão traseira com outro veículo em movimento
Lousada,18-10-2017 17:10,0,1,EN106,"10,200",Despiste simples
Lousada,16-05-2017 18:10,0,1,Rua Ponte de Lustosa,-,Atropelamento de peões
Maia,14-06-2017 13:45,0,1,A3,"2,180",Atropelamento de peões
Maia,06-04-2017 19:03,0,1,A3,"7,250",Despiste com capotamento
Maia,21-04-2017 01:52,0,1,A3,"8,850",Despiste simples
Maia,20-06-2017 08:50,0,1,Avenida Comendador Carlos Ferreira da Silva 00,-,Atropelamento de peões
Maia,20-05-2017 17:50,0,1,Avenida Dom João I 285,-,Colisão frontal
Maia,02-07-2017 19:50,1,0,Avenida Padre Manuel Alves Rego 131,-,Colisão lateral com outro veículo em movimento
Maia,25-04-2017 07:15,1,2,EN14,"7,700",Colisão frontal
Maia,26-07-2017 23:00,1,0,EN14,"9,830",Despiste simples
Maia,18-02-2017 21:20,1,0,EN318,"8,100",Despiste simples
Maia,14-07-2017 11:00,1,0,Rua 5 de Outubro 24,-,Atropelamento de peões
Maia,14-11-2017 00:10,0,1,Rua Dom Afonso Henriques 0,-,Colisão frontal
Maia,30-05-2017 16:40,1,0,Rua José Moreira Azenha,-,Colisão frontal
Maia,24-02-2017 19:00,0,1,Rua Nova dos Moutidos 00,-,Atropelamento de peões
Maia,23-09-2017 09:10,0,1,Rua Souto 462,-,Atropelamento de peões
Maia,29-09-2017 06:50,1,0,via diagonal,-,Atropelamento de peões
Maia,15-05-2017 07:45,1,0,Via Engenheiro Belmiro Mendes de Azevedo,-,Colisão traseira com outro veículo em movimento
Marco de Canaveses,16-09-2017 20:40,0,1,-,"1986,000",Colisão traseira com outro veículo em movimento
Marco de Canaveses,26-01-2017 18:00,1,0,Av Futebol Clube do Marco,-,Colisão frontal
Marco de Canaveses,24-02-2017 07:30,0,1,Av. Futebol Clube do Porto,-,Despiste com colisão com veículo imobil. ou obstáculo
Marco de Canaveses,18-01-2017 15:45,0,1,Avenida Principal Favões,-,Despiste simples
Marco de Canaveses,23-12-2017 21:00,1,0,EN211,"5,000",Colisão lateral com outro veículo em movimento
Marco de Canaveses,17-04-2017 17:10,0,1,Rua de Eiro,-,Colisão traseira com outro veículo em movimento
Marco de Canaveses,30-07-2017 18:05,0,2,Rua de Refojos,-,Despiste simples
Marco de Canaveses,28-10-2017 22:30,0,1,Rua de santo Isidoro,-,Despiste simples
Marco de Canaveses,17-04-2017 23:00,0,2,Rua Padre Manuel Dias da Silva - Banho e Carvalhosa,-,Despiste simples
Marco de Canaveses,02-05-2017 18:08,0,1,rua rainha Dona Mafalda,-,Despiste com colisão com veículo imobil. ou obstáculo
Marco de Canaveses,31-05-2017 18:30,1,0,Travessa do Boi Morto,-,Atropelamento de peões
Marco de Canaveses,11-05-2017 15:00,0,1,VAR-EN210,-,Colisão frontal
Marco de Canaveses,02-12-2017 19:00,1,0,Via Panoramica do Douro,-,Atropelamento de peões
Matosinhos,04-01-2017 16:00,1,0,-,"0,000",Atropelamento de peões
Matosinhos,03-06-2017 17:20,0,1,-,"0,000",Despiste com dispositivo de retenção
Matosinhos,09-06-2017 15:45,0,1,-,"160,000",Colisão lateral com outro veículo em movimento
Matosinhos,20-10-2017 07:30,0,1,-,-,Colisão frontal
Matosinhos,31-05-2017 02:05,0,1,A28,"8,850",Despiste com transposição do dispositivo de retenção lateral
