Concelho,Datahora,M,FG,Via,km,Natureza
Cartaxo,2011:07:06 16:25:00,1,0,Est Sesmarias,,Despiste c/capotamento
Cartaxo,2011:08:23 17:00:00,0,1,EN3-2,"4,750",Colisão com outras situações
Cartaxo,2011:09:01 00:55:00,0,2,EN3,"28,530",Colisão frontal
Cartaxo,2011:09:23 09:15:00,0,1,VAR-EN365-,"3,547",Colisão com outras situações
Cartaxo,2011:10:21 19:10:00,0,1,R Serpa Pinto,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Cartaxo,2011:10:23 20:50:00,1,0,EN3,"26,800",Despiste simples
Cartaxo,2011:11:07 17:02:00,1,0,EM512,,Colisão tras. c/ outro veíc. mov.
Cartaxo,2011:11:13 00:05:00,0,2,R Batalhós,,De  s p  i s  t ec  / c  o  l.  c  / v  e  í c  .  i m obil./obst.
Cartaxo,2011:11:20 16:30:00,0,1,A1,"50,435",Despiste c/capotamento
Cartaxo,2011:12:14 14:30:00,0,1,EM514,,Colisão com outras situações
Chamusca,2011:03:03 06:00:00,1,0,EN118,"114,800",Despiste c/capotamento
Chamusca,2011:03:24 09:35:00,0,1,EN118,"101,700",Colisão tras. c/ outro veíc. mov.
Chamusca,2011:04:13 18:45:00,1,0,R Direita S Pedro,,Colisão tras. c/ outro veíc. mov.
Chamusca,2011:06:21 22:50:00,0,2,EN118,"107,900",Colisão c/veic./obstáculo f.rodagem
Chamusca,2011:08:13 15:20:00,1,0,EN118,"96,900",Despiste c/col. c/veíc. imobil./obst.
Chamusca,2011:10:29 20:15:00,0,1,EM574,,Despiste simples
Coruche,2011:01:07 17:30:00,0,1,EM580,,Colisão frontal
Coruche,2011:01:30 01:30:00,1,0,EN114-3,"11,000",Despiste c/trans. disp.ret. lateral
Coruche,2011:02:18 19:30:00,0,2,EN114,"100,250",Colisão frontal
Coruche,2011:02:21 13:30:00,0,1,Estrada Municipal,,Colisão frontal
Coruche,2011:02:27 18:00:00,0,1,EN119,"37,600",Despiste c/capotamento
Coruche,2011:04:15 20:45:00,0,1,EM580,,Despiste simples
Coruche,2011:05:06 20:20:00,0,1,EN251,"56,050",Despiste simples
Coruche,2011:06:24 18:10:00,1,0,EN251,"53,700",Colisão frontal
Coruche,2011:07:02 21:20:00,0,1,EM1425,,Despiste c/capotamento
Coruche,2011:07:20 21:30:00,0,1,EN114,"130,100",Despiste c/col. c/veíc. imobil./obst.
Coruche,2011:12:24 14:00:00,0,1,EM515,,Colisão lat. c/ outro veíc. mov.
Coruche,2011:12:24 19:10:00,0,3,EN251,"51,037",Colisão lat. c/ outro veíc. mov.
Entroncamento,2011:09:26 18:15:00,0,1,R 1o Maio,,A  t r  o  p  e  la  me  n  t od  ep  e  õ es
Entroncamento,2011:10:26 08:50:00,0,1,EM1179,,Colisão frontal
Ferreira Zêzere,2011:03:18 21:00:00,0,1,R António Teixeira Antunes,,Atropelamento com fuga
Ferreira Zêzere,2011:04:13 18:10:00,0,1,EN238,"17,950",Colisão frontal
Ferreira Zêzere,2011:08:20 00:01:00,0,1,Estrada Municipal,,Despiste simples
Ferreira Zêzere,2011:09:12 20:20:00,1,0,EM238,"15,000",Colisão frontal
Ferreira Zêzere,2011:10:30 14:35:00,0,1,R Sto Aleixo,,Despiste simples
Golegã,2011:04:14 23:15:00,0,2,EN365,"75,000",Colisão frontal
Golegã,2011:05:08 04:30:00,0,1,EN243,"43,000",Despiste simples
Golegã,2011:07:27 20:15:00,0,1,EN365,"75,000",Colisão lat. c/ outro veíc. mov.
Mação,2011:02:05 14:30:00,1,0,EN3,"129,820",Despiste c/capotamento
Ourem,2011:01:27 13:45:00,0,1,Est Casal Touro,,Despiste c/capotamento
Ourem,2011:02:02 17:45:00,0,1,Est Caneiro,,Colisão frontal
Ourem,2011:03:19 07:45:00,0,1,Av Beato Nuno,,Atropelamento de peões
Ourem,2011:03:25 19:20:00,1,0,EM503,,Colisão frontal
Ourem,2011:04:02 15:00:00,0,1,R Principal,,Despiste simples
Ourem,2011:04:08 01:00:00,0,1,R Valadas,,Despiste simples
Ourem,2011:05:07 17:10:00,0,1,R Dr A Justiniano L Preto,,Atropelamento de peões
Ourem,2011:05:25 00:34:00,0,1,R Dr Joaq Francisco Alves,,De  s  p  is  t ec  / c  o  l .  c / v  e  í c  .i mo bil./obst.
Ourem,2011:06:03 21:50:00,1,0,Outra Via,,Atropelamento com fuga
Ourem,2011:06:16 07:15:00,0,2,R Covões,,Despiste simples
Ourem,2011:06:18 02:10:00,1,0,R Cooperativa,,Atropelamento de peões
Ourem,2011:07:13 08:50:00,0,1,Av Papa João XXIII,,Colisão frontal
Ourem,2011:07:22 18:15:00,0,1,R Indústria,,Despiste simples
Ourem,2011:07:26 07:40:00,0,1,R Registo Civil,,Despiste simples
Ourem,2011:08:15 16:00:00,0,1,EM505,,,Despiste simples
Ourem,2011:08:16 07:45:00,0,1,R D Júlio Constantino,,,Despiste simples
Ourem,2011:08:17 16:12:00,1,0,Est Principal,,,Despiste simples
Ourem,2011:09:06 18:40:00,0,2,EN356,,"40,600",Colisão frontal
Ourem,2011:12:15 08:30:00,0,1,Est Fátima,,,Colisão tras. c/ outro veíc. mov.
Ourem,2011:12:24 02:20:00,0,2,R Principal,,,Colisão frontal
Ourem,2011:12:26 16:15:00,0,1,Estrada Florestal,,,Atropelamento de peões
Rio Maior,2011:01:23 13:00:00,0,1,R Manuel Sequeira Nobre,,,Despiste c/capotamento
Rio Maior,2011:01:31 13:25:00,0,2,IC2,,"77,200",Colisão lat. c/ outro veíc. mov.
Rio Maior,2011:01:31 21:10:00,1,1,EN1,,"79,500",Colisão lat. c/ outro veíc. mov.
Rio Maior,2011:04:07 09:00:00,1,0,EN361,,"42,410",Atropelamento de peões
Rio Maior,2011:06:30 14:10:00,0,1,EM566,,,Colisão lat. c/ outro veíc. mov.
Rio Maior,2011:08:12 23:30:00,0,1,EN114,,"49,350",Colisão lat. c/ outro veíc. mov.
Rio Maior,2011:09:06 07:45:00,0,1,R Marcelino Gadeiro,,,Atropelamento de peões
Rio Maior,2011:10:20 14:25:00,1,0,EM1310,,,Colisão lat. c/ outro veíc. mov.
Rio Maior,2011:10:31 18:48:00,1,0,IC2,,"77,000",Colisão frontal
Rio Maior,2011:12:15 21:00:00,0,1,EM566,,,Despiste c/capotamento
Salva. Magos,2011:02:05 23:30:00,0,1,R Buinheiros,,,Despiste s/dispositivo de retenção
Salva. Magos,2011:02:19 19:15:00,1,0,EN367,,,Atropelamento de peões
Salva. Magos,2011:02:26 16:55:00,0,1,Cruz est Vale Queimado,,,Colisão frontal
Salva. Magos,2011:04:16 17:38:00,1,0,EN118,,"61,000",Despiste c/capotamento
Salva. Magos,2011:05:28 19:00:00,1,0,R Desafio Jovem,,,Colisão lat. c/ outro veíc. mov.
Salva. Magos,2011:06:17 17:50:00,0,1,R Eira,,,Despiste simples
Salva. Magos,2011:07:08 19:10:00,0,1,EN367,,,Colisão lat. c/ outro veíc. mov.
Salva. Magos,2011:08:04 16:00:00,0,1,EN118,,"48,800",Despiste c/capotamento
Salva. Magos,2011:09:07 13:00:00,1,2,EN118,,"62,500",Colisão lat. c/ outro veíc. mov.
Salva. Magos,2011:12:04 03:00:00,0,1,EN118,,"53,100",Colisão lat. c/ outro veíc. mov.
Santarém,2011:01:04 19:00:00,1,0,EN3,,"33,400",Colisão tras. c/ outro veíc. mov.
Santarém,2011:01:05 03:50:00,0,1,EN3,,"34,600",Despiste c/col. c/veíc. imobil./obst.
Santarém,2011:02:27 15:00:00,0,1,EM1314,,,Colisão frontal
Santarém,2011:03:05 01:05:00,0,1,EN3,,"32,400",Atropelamento com fuga
Santarém,2011:03:05 22:20:00,0,1,R Alvitejo,,,Despiste c/capotamento
Santarém,2011:03:11 09:17:00,1,1,Circular Urbana D. Luís I,,,Colisão frontal
Santarém,2011:03:12 19:00:00,0,1,R Capitão Salgueiro Maia,,,Despiste s/dispositivo de retenção
Santarém,2011:03:15 18:40:00,0,1,R Alexandre Herculano,,,Despiste simples
Santarém,2011:03:24 08:20:00,0,1,Est Canal,,,Despiste c/capotamento
Santarém,2011:04:06 17:10:00,0,2,Av F Amadores Santarém,,,Despiste s/dispositivo de retenção
Santarém,2011:05:07 11:00:00,0,1,Pinhal Garrido,,,Colisão frontal
Santarém,2011:05:07 21:10:00,1,0,R Afonso Henriques,,,Despiste simples
Santarém,2011:05:24 07:35:00,1,0,Estrada Municipal,,,Colisão lat. c/ outro veíc. mov.
Santarém,2011:05:25 23:00:00,0,1,EM587,,,Despiste com fuga
Santarém,2011:07:21 10:30:00,1,0,EM567-2,,,Despiste s/dispositivo de retenção
Santarém,2011:08:12 14:00:00,0,1,EN114,,"72,300",Colisão lat. c/ outro veíc. mov.
Santarém,2011:08:13 10:10:00,0,2,A1,,"86,200",Despiste c/capotamento
Santarém,2011:08:20 01:00:00,0,2,R Luis Aug Rebelo Silva,,,Despiste s/dispositivo de retenção
Santarém,2011:08:21 17:50:00,0,1,R 1o Maio,,,Despiste c/col. c/veíc. imobil./obst.
Santarém,2011:08:23 20:20:00,1,0,Cç Entre Hortas,,,Atropelamento de peões
Santarém,2011:09:01 17:00:00,0,1,EN3,,"33,900",Colisão frontal
Santarém,2011:09:07 12:15:00,0,1,Cç Junqueira,,,Despiste c/col. c/veíc. imobil./obst.
Santarém,2011:09:13 18:10:00,0,1,R Gago Coutinho,,,Despiste c/capotamento
Santarém,2011:10:14 16:55:00,0,1,Av Bernardo Santareno,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Santarém,2011:10:16 19:11:00,0,1,R P Dr J Verissímo Serrão,,,Atropelamento de peões
Santarém,2011:11:06 17:10:00,3,0,A1,,"81,800",Despiste c/capotamento
Santarém,2011:11:14 17:30:00,0,1,R 5 Outubro,,,Despiste c/col. c/veíc. imobil./obst.
Santarém,2011:11:16 09:35:00,0,1,R S Tiago,,,Atropelamento de peões
Santarém,2011:11:30 12:05:00,0,1,EN3,,"54,000",Colisão lat. c/ outro veíc. mov.
Santarém,2011:12:05 16:15:00,0,1,Av Bernardo Santareno,,,Atropelamento de peões
Santarém,2011:12:14 19:27:00,0,1,R Actriz Alda Rodrigues,,,Atropelamento de peões
Santarém,2011:12:26 00:15:00,0,1,R Maria Inês Schaller Dias,,,Despiste c/col. c/veíc. imobil./obst.
Sardoal,2011:09:26 19:45:00,0,1,EN2,,"381,850",Despiste c/capotamento
Tomar,2011:01:04 18:30:00,0,1,R D Lopo Dias Sousa,,,At r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Tomar,2011:03:02 07:45:00,0,1,EM530,,,Colisão lat. c/ outro veíc. mov.
Tomar,2011:04:16 20:15:00,0,1,IC3,,"105,600",Despiste simples
Tomar,2011:04:28 23:30:00,0,1,EN110,,,Despiste c/col. c/veíc. imobil./obst.
Tomar,2011:05:04 19:45:00,1,0,EN110,,"84,800",Colisão lat. c/ outro veíc. mov.
Tomar,2011:05:28 10:40:00,1,0,IC3,,"91,000",Despiste c/capotamento
Tomar,2011:06:10 10:45:00,0,1,R Cadeira D' El Rei,,,Colisão frontal
Tomar,2011:06:11 19:30:00,0,1,Av General Norton Matos,,,At r o  p  e  l a  me  n  t oc o  mf u  g  a
Tomar,2011:07:25 11:45:00,0,1,EM531,,,Colisão lat. c/ outro veíc. mov.
Tomar,2011:08:10 11:54:00,0,1,Av Ângela Tamagnini,,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Tomar,2011:09:04 05:30:00,2,2,R Tomar,,,Despiste c/col. c/veíc. imobil./obst.
Tomar,2011:10:01 19:00:00,0,1,R Vale Cabaça,,,Despiste simples
Tomar,2011:10:01 19:40:00,0,3,EN358,,"14,400",Colisão frontal
Tomar,2011:10:08 13:20:00,1,0,EM531-1,,,Despiste c/capotamento
Tomar,2011:11:19 14:08:00,1,0,EM1090,,,Despiste simples
Tomar,2011:12:05 13:00:00,0,1,Av António Fonseca Simões,,,Despiste simples
Tomar,2011:12:20 17:00:00,0,2,IC9,,"66,930",Despiste c/capotamento
Tomar,2011:12:25 04:00:00,1,0,EM534,,,Despiste simples
Tomar,2011:12:31 19:40:00,1,0,EN110,,"107,000",Atropelamento de peões
Torres Novas,2011:03:18 13:00:00,1,0,R Cruzeiro,,,Colisão frontal
Torres Novas,2011:04:20 14:30:00,0,1,Variante,,,Colisão lat. c/ outro veíc. mov.
Torres Novas,2011:05:01 10:30:00,0,1,R Saudade,,,Despiste simples
Torres Novas,2011:08:03 11:05:00,1,0,Est Sapeira,,,De  s  p  is  t ec  / c  o  l .  c / v  e íc. imobil./obst.
Torres Novas,2011:08:05 14:30:00,0,1,Av Dr João Martins Azevedo,,,At r o  p  e  l a  me  n  t od  ep  e  õ  e s
Torres Novas,2011:12:22 14:50:00,0,1,Variante,,,Colisão tras. c/ outro veíc. mov.
Torres Novas,2011:12:24 03:40:00,0,1,Via João Paulo II,,,Despiste s/dispositivo de retenção
Vila N Barquinha,2011:06:09 14:20:00,0,1,R D Maria II,,,Atropelamento de peões
Vila N Barquinha,2011:08:25 19:18:00,0,1,R D Maria II,,,Colisão frontal
Vila N Barquinha,2011:11:13 05:45:00,0,1,EN3,,"85,200",Colisão com fuga
Abrantes,2011:01:27 12:35:00,0,1,R Ferrarias,,,Colisão lat. c/ outro veíc. mov.
Abrantes,2011:02:07 22:30:00,1,0,Estrada Municipal,,,Despiste simples
Abrantes,2011:02:13 11:30:00,0,1,A23,,"45,900",Despiste c/trans. disp.ret. lateral
Abrantes,2011:02:20 11:30:00,0,1,Arruamento não designado,,,Despiste simples
Abrantes,2011:05:18 15:00:00,0,1,EN358,,"33,735",Colisão lat. c/ outro veíc. mov.
Abrantes,2011:05:19 14:25:00,0,1,EM571-1,,,Atropelamento de peões
Abrantes,2011:05:20 09:48:00,0,1,Av António Farinha Pereira,,,Colisão lat. c/ outro veíc. mov.
Abrantes,2011:05:24 12:20:00,0,1,EN118,,"137,153",Despiste c/trans. disp.ret. lateral
Abrantes,2011:06:07 13:00:00,0,1,A23,,"40,700",Colisão tras. c/ outro veíc. mov.
Abrantes,2011:08:08 07:30:00,1,0,EN118,,"150,000",Colisão c/veic./obstáculo f.rodagem
Abrantes,2011:08:13 10:10:00,1,0,R Combatentes,,,Despiste c/capotamento
Abrantes,2011:08:17 19:15:00,0,1,EN3,,"102,100",Colisão frontal
Abrantes,2011:08:18 11:30:00,0,1,Av Forças Armadas,,,D  e  s  p  i s  t ec  /c  a  p  o  t a  m  ento
Abrantes,2011:09:22 20:23:00,1,0,Av António Farinha Pereira,,,Despiste c/col. c/veíc. imobil./obst.
Abrantes,2011:11:01 23:45:00,0,1,EN118,,"137,800",Atropelamento de peões
Abrantes,2011:11:14 11:20:00,0,1,Av Escola Nova,,,D  e  s  p  i s  t ec  / c o  l .  c  / v eíc. imobil./obst.
Abrantes,2011:11:17 15:30:00,0,1,Cç São José,,,D  e  s  p  i s  t ec  / c o  l .  c  / v  eíc. imobil./obst.
Abrantes,2011:12:28 17:45:00,0,1,EN2,,"418,050",Despiste c/capotamento
Alcanena,2011:02:11 20:49:00,2,0,Av José António Carvalho,,,Colisão lat. c/ outro veíc. mov.
Alcanena,2011:04:09 04:10:00,1,1,EN243,,"27,650",Despiste c/col. c/veíc. imobil./obst.
Alcanena,2011:05:20 23:30:00,0,1,A1,,"90,700",Colisão c/veic./obstáculo f.rodagem
Alcanena,2011:06:23 18:20:00,0,2,EN243,,"30,000",Colisão frontal
Alcanena,2011:12:19 15:03:00,1,0,A1,,"92,180",Atropelamento de peões
Almeirim,2011:02:23 16:45:00,0,1,R Salvaterra,,,Colisão c/veic./obstáculo f.rodagem
Almeirim,2011:05:25 16:10:00,0,1,Zona industrial,,,Despiste simples
Almeirim,2011:06:03 16:00:00,0,2,EN114,,"78,560",Despiste c/ dispositivo de retenção
Almeirim,2011:06:04 02:45:00,1,1,R Santarém,,,Despiste s/dispositivo de retenção
Almeirim,2011:06:17 06:15:00,1,0,EN118,,,Colisão lat. c/ outro veíc. mov.
Almeirim,2011:06:24 19:40:00,0,1,R Dr Miguel Gonçalves,,,Despiste simples
Almeirim,2011:08:18 14:00:00,0,1,arruamento não desig jt EN,,,Atropelamento de peões
Almeirim,2011:10:04 20:45:00,1,0,R Guilherme Nunes Godinho,,,Atropelamento de peões
Almeirim,2011:11:26 12:40:00,0,1,R Ajuda,,,Colisão lat. c/ outro veíc. mov.
Alpiarça,2011:04:27 09:40:00,0,1,R Conselheiro Figueiredo Leal,,,Despiste simples
Benavente,2011:01:31 17:00:00,0,1,Est Curralinhos,,,Colisão lat. c/ outro veíc. mov.
Benavente,2011:02:24 08:38:00,1,0,Est Alemãs,,,Despiste c/capotamento
Benavente,2011:03:03 08:00:00,0,1,EN118,,"37,820",Colisão frontal
Benavente,2011:03:28 07:55:00,0,1,Est Miradouro,,,Colisão frontal
Benavente,2011:04:08 15:35:00,0,2,EN119,,"31,200",Colisão lat. c/ outro veíc. mov.
Benavente,2011:04:28 12:40:00,0,1,EN118,,"34,700",Colisão frontal
Benavente,2011:05:22 13:00:00,1,1,EN118,,"11,600",Colisão frontal
Benavente,2011:07:12 17:19:00,0,1,Bairro 28 Setembro,,,Atropelamento de peões
Benavente,2011:07:20 18:15:00,0,1,EN119,,"29,600",Colisão frontal
Benavente,2011:07:28 14:15:00,2,2,EN118,,"17,500",Colisão frontal
Benavente,2011:09:24 15:15:00,1,0,EN118-1,,"1,700",Colisão tras. c/ outro veíc. mov.
Benavente,2011:10:09 16:49:00,3,2,EN119,,"13,850",Colisão frontal
