Concelho,Datahora,M,FG,Via,Km,Natureza
Abrantes,24-10-2015 21:40,0,1,Avenida Aljubarrota 0,-,Despiste com colisão com veículo imobil. ou obstáculo
Abrantes,21-05-2015 08:20,0,1,Avenida Avelar Machado 0,-,Colisão frontal
Abrantes,02-12-2015 19:45,0,1,Avenida Avelar Machado 123,-,Colisão frontal
Abrantes,15-01-2015 18:55,0,1,Avenida Portagem 390,-,Atropelamento de peões
Abrantes,03-12-2015 11:44,0,1,EM1212-1,-,Despiste simples
Abrantes,26-07-2015 10:40,0,1,EM556,-,Despiste simples
Abrantes,31-10-2015 19:35,0,1,EN118,"141,200",Colisão frontal
Abrantes,29-11-2015 00:15,1,1,EN2,"389,800",Despiste com transposição do dispositivo de retenção lateral
Abrantes,05-06-2015 05:20,0,1,EN2,"419,000",Despiste com capotamento
Abrantes,10-11-2015 08:11,0,1,EN3,"3,000",Atropelamento de peões
Abrantes,27-09-2015 00:15,2,0,EN358,"29,200",Despiste com capotamento
Abrantes,28-07-2015 07:45,0,1,EN358,"48,200",Colisão lateral com outro veículo em movimento
Abrantes,12-06-2015 14:20,1,0,Ladeira Alta 0,-,Despiste com capotamento
Abrantes,04-04-2015 00:40,0,1,Rua da Boa Viagem 214,-,Despiste simples
Abrantes,27-03-2015 17:30,0,1,Rua dos Ilustres 8,-,Despiste simples
Alcanena,26-03-2015 23:30,0,1,-,-,Despiste simples
Alcanena,04-04-2015 17:52,0,1,-,-,Despiste com capotamento
Alcanena,25-03-2015 06:50,1,0,A1,"90,565",Colisão com veiculo ou obstáculo na faixa de rodagem
Alcanena,09-09-2015 12:46,0,1,EN243,"21,700",Despiste sem dispositivo de retenção
Alcanena,15-03-2015 19:15,0,1,EN365-4,"27,300",Colisão com outras situações
Alcanena,14-07-2015 18:45,0,1,Rua Calouste Gulbenkian,-,Atropelamento de peões
Almeirim,17-05-2015 04:00,0,1,EN114,"80,000",Despiste com capotamento
Almeirim,11-02-2015 07:40,0,1,EN114,"91,350",Despiste simples
Almeirim,28-06-2015 16:20,0,1,EN114,"92,900",Colisão frontal
Almeirim,12-03-2015 06:40,0,1,EN114,"93,400",Colisão frontal
Almeirim,17-01-2015 06:30,0,1,EN118,"72,800",Colisão frontal
Almeirim,01-06-2015 06:00,0,1,Rua de Alpiarça 15,-,Colisão frontal
Alpiarca,18-04-2015 13:00,0,1,EM368-1,-,Despiste sem dispositivo de retenção
Alpiarca,11-07-2015 15:50,0,2,Rua de São Martinho 88 A,-,Despiste com colisão com veículo imobil. ou obstáculo
Alpiarca,23-07-2015 19:50,0,1,Rua José do Vale 28,-,Despiste simples
Benavente,29-12-2015 06:45,1,0,Ava o Seculo 71,-,Atropelamento de peões
Benavente,24-12-2015 11:17,1,0,EM515,"9,000",Despiste simples
Benavente,27-08-2015 12:30,0,1,EN10,"102,500",Colisão traseira com outro veículo em movimento
Benavente,22-10-2015 14:30,2,0,EN10,"107,000",Colisão frontal
Benavente,01-09-2015 20:30,0,1,EN118,"25,700",Despiste simples
Benavente,04-05-2015 09:55,0,1,EN118,"42,400",Colisão traseira com outro veículo em movimento
Benavente,01-05-2015 04:25,0,1,EN118,"44,000",Despiste com colisão com veículo imobil. ou obstáculo
Benavente,28-05-2015 18:10,2,0,EN119,"14,150",Colisão lateral com outro veículo em movimento
Benavente,22-06-2015 12:15,0,2,EN119,"23,943",Colisão lateral com outro veículo em movimento
Benavente,28-11-2015 11:00,1,0,Rua Nascer do Sol,-,Despiste simples
Cartaxo,10-01-2015 06:10,0,1,Alameda do Vinho,-,Despiste simples
Cartaxo,09-01-2015 13:00,0,1,Avenida João de Deus 35,-,Atropelamento de peões
Cartaxo,22-02-2015 17:50,0,1,EM587,-,Despiste com capotamento
Cartaxo,19-07-2015 20:00,0,2,EN114-2,"9,500",Despiste simples
Cartaxo,28-03-2015 17:40,0,1,EN3,"19,850",Despiste simples
Cartaxo,16-03-2015 10:30,0,1,EN3,"22,700",Colisão frontal
Cartaxo,15-10-2015 19:40,1,0,EN3,"26,200",Colisão com outras situações
Cartaxo,24-11-2015 16:45,1,0,Rua Canto do Muro 24,-,Colisão traseira com outro veículo em movimento
Cartaxo,27-03-2015 02:20,0,1,Rua da Carrasqueira,-,Despiste simples
Cartaxo,15-11-2015 12:55,0,1,Rua das Olarias 37,-,Colisão lateral com outro veículo em movimento
Cartaxo,12-04-2015 22:51,0,1,Rua Fonte do Baligoto 19,-,Atropelamento com fuga
Cartaxo,27-12-2015 13:15,0,1,Rua João de Deus 39,-,Atropelamento de peões
Cartaxo,19-09-2015 20:30,0,1,Rua Marcelino Mesquita,-,Colisão traseira com outro veículo em movimento
Chamusca,11-08-2015 19:15,0,1,EN118,"106,300",Despiste simples
Chamusca,06-08-2015 18:40,0,1,EN118,"110,000",Atropelamento de peões
Chamusca,01-06-2015 15:10,0,1,EN243,"49,250",Despiste com capotamento
Constancia,24-01-2015 15:30,0,1,-,-,Despiste simples
Constancia,16-09-2015 15:30,0,1,EN3,"97,000",Despiste simples
Constancia,03-10-2015 18:50,0,1,EN3,"98,200",Despiste simples
Constancia,15-11-2015 07:45,0,1,EN358-2,"6,700",Colisão frontal
Constancia,25-12-2015 16:45,0,1,Rua da Lagoa 15,-,Atropelamento de peões
Constancia,17-07-2015 02:10,0,1,Rua de Aljubarrota,-,Despiste com capotamento
Coruche,23-02-2015 17:10,1,0,Ava Luis de Camões,-,Atropelamento de peões
Coruche,10-09-2015 11:30,0,1,Ava Luis de Camões,-,Colisão lateral com outro veículo em movimento
Coruche,07-09-2015 22:00,0,1,EM515,-,Despiste com dispositivo de retenção
Coruche,05-08-2015 13:10,0,1,EM581,-,Despiste simples
Coruche,10-01-2015 12:20,0,1,EM590,-,Colisão frontal
Coruche,25-08-2015 18:20,0,1,EM590,-,Despiste simples
Coruche,10-05-2015 06:29,0,4,EN114,"100,200",Colisão frontal
Coruche,22-08-2015 16:45,0,1,EN119,"34,450",Despiste com capotamento
Coruche,02-01-2015 14:10,0,1,EN119,"36,700",Despiste com capotamento
Coruche,30-07-2015 17:45,0,1,EN119,"37,720",Colisão lateral com outro veículo em movimento
Coruche,13-04-2015 10:10,0,2,EN251,"39,500",Colisão frontal
Coruche,01-08-2015 19:30,1,0,EN251,"47,200",Despiste com colisão com veículo imobil. ou obstáculo
Coruche,21-05-2015 08:55,0,1,Estrada da Lamarosa 71,-,Atropelamento de peões
Entroncamento,03-07-2015 19:39,0,1,A23,"15,180",Colisão traseira com outro veículo em movimento
