Concelho,Datahora,M,FG,Via,km,Natureza
Alcácer do Sal,2010-02-11 16:45,1,0,EN120,"0,550",Despiste simples
Alcácer do Sal,2010-03-29 20:50,0,1,ER253,"7,300",Colisão c/veic./obst. f.rodagem
Alcácer do Sal,2010-06-11 10:50,0,2,EN5,"46,070",Colisão lat.c/outro veíc. em mov.
Alcácer do Sal,2010-06-12 04:00,0,1,EN253,"12,720",Despiste simples
Alcácer do Sal,2010-07-03 22:45,1,0,A2,"96,720",Despiste simples
Alcácer do Sal,2010-07-07 22:15,0,1,A2,"82,000",Colisão frontal
Alcácer do Sal,2010-07-18 10:58,1,1,EN120,"4,350",Despiste simples
Alcácer do Sal,2010-08-16 09:49,1,0,A2,"75,400",Colisão tras. c/outro veíc. em mov.
Alcácer do Sal,2010-08-19 04:15,0,1,EN253,"17,600",Despiste c/capotamento
Alcácer do Sal,2010-08-29 12:20,0,2,EM539,,Colisão frontal
Alcácer do Sal,2010-09-04 06:15,0,1,EN5,"55,150",Despiste c/capotamento
Alcácer do Sal,2010-09-09 17:45,0,1,A2,"68,800",Despiste c/capotamento
Alcácer do Sal,2010-10-22 21:30,0,2,EM1061,,Despiste simples
Alcácer do Sal,2010-12-23 11:15,1,0,A2,"90,400",Colisão tras. c/outro veíc. em mov.
Alcochete,2010-01-30 19:10,1,2,EN4,"27,600",Colisão frontal
Alcochete,2010-03-02 14:20,0,1,EM502,"2,500",Despiste c/capotamento
Alcochete,2010-03-06 20:15,0,1,R 1 DEZEMBRO,,Colisão lat.c/outro veíc. em mov.
Alcochete,2010-07-24 21:10,1,0,EN4,"20,900",Colisão tras. c/outro veíc. em mov.
Alcochete,2010-08-10 05:00,1,0,EM501,"2,100",Atropelamento de peões
Alcochete,2010-09-29 21:30,0,1,EM502,"3,500",Colisão frontal
Alcochete,2010-11-11 08:35,0,1,R. Dr. Manuel Cruz Jr.,,Atropelamento de peões
Almada,2010-01-04 07:39,1,0,Av. 23 de Julho,,Atropelamento de peões
Almada,2010-03-17 18:20,0,1,R. Doutor António Elvas,,Atropelamento de peões
Almada,2010-04-14 00:30,0,3,AV TORRADO SILVA,,Colisão tras. c/outro veíc. em mov.
Almada,2010-05-22 21:15,0,1,IC20,"2,240",Colisão tras. c/outro veíc. em mov.
Almada,2010-05-23 09:52,0,1,A2,,Despiste c/dispositivo retenção
Almada,2010-05-25 09:00,0,2,R QTA DA MADALENA,,Colisão frontal
Almada,2010-06-07 21:00,0,1,IC20,"3,700",Colisão frontal
Almada,2010-07-08 12:40,0,1,Est. das Matas Nacionais,,Despiste simples
Almada,2010-07-08 18:15,0,1,A2,,Colisão lat.c/outro veíc. em mov.
Almada,2010-07-13 09:10,0,1,R. Trabalhadores Rurais,,Atropelamento de peões
Almada,2010-07-23 17:25,0,1,A2,"5,800",Despiste c/dispositivo retenção
Almada,2010-08-06 15:55,0,1,L3,,Atropelamento de peões
Almada,2010-08-10 08:20,0,2,Av. Vít. Guerra Colonial,,Colisão lat.c/outro veíc. em mov.
Almada,2010-08-11 15:15,0,1,Rotunda Centro Sul,,A  t r o  p  e  l a  me  n  t od  ep  e  õ  e  s
Almada,2010-08-17 09:00,0,1,A2,,Colisão lat.c/outro veíc. em mov.
Almada,2010-08-31 23:00,0,2,Av. D. Afonso Henriques,,Colisão frontal
Almada,2010-09-06 17:00,0,1,R. Ary dos Santos,,Co  l is  ã  ol a  t . c  / o  u  t r ov  e  í c  .  e  mm ov.
Almada,2010-09-12 09:45,0,1,A2,,Colisão com outras situações
Almada,2010-09-24 23:00,0,1,R DUARTE LEITE,,Despiste simples
Almada,2010-09-27 08:55,0,1,A2,,Colisão lat.c/outro veíc. em mov.
Almada,2010-11-13 18:00,1,0,R. Isidoro Ferreira,,Atropelamento de peões
Almada,2010-11-29 20:00,0,1,Av. 23 de Julho,,Atropelamento de peões
Almada,2010-12-11 16:30,0,1,VL3 NÓ DE PALHAIS,,Colisão lat.c/outro veíc. em mov.
Almada,2010-12-29 08:30,0,1,R. da Judiaria,,Colisão lat.c/outro veíc. em mov.
Barreiro,2010-01-13 07:55,0,1,EM510,,Colisão c/veic./obst. f.rodagem
Barreiro,2010-01-23 03:55,0,2,R. Miguel Bombarda,,Colisão lat.c/outro veíc. em mov.
Barreiro,2010-03-10 17:08,0,1,R ALMIRANTE REIS,,Colisão frontal
Barreiro,2010-03-24 08:15,1,0,EN10-3,"1,550",Colisão frontal
Barreiro,2010-04-09 14:25,0,1,R. Bartolomeu Dias,,Atropelamento de peões
Barreiro,2010-05-15 02:20,0,2,R. Capitães de Abril,,Despiste c/col. co/veíc. imobil./obst.
Barreiro,2010-05-18 08:30,0,1,EN10,"16,600",Despiste simples
Barreiro,2010-05-24 19:00,0,1,R. Nagar Aveli,,Atropelamento de peões
Barreiro,2010-07-07 17:10,0,1,EM510,,Atropelamento com fuga
Barreiro,2010-07-21 18:30,0,2,EM510-1,,Col. lat.c/outro veíc. em mov.
Barreiro,2010-08-08 06:30,0,1,Av. do Bocage,,Atropelamento de peões
Barreiro,2010-08-08 12:00,0,1,EN10-3,"1,300",Col. lat.c/outro veíc. em mov.
Barreiro,2010-08-10 18:23,1,1,Terminal Rodo Ferro Fluvial,,Atropelamento de peões
Barreiro,2010-10-27 06:30,0,1,Av. José Gomes Ferreira,,Co  l i s  ã  o  f  r o  n  t a  l
Barreiro,2010-10-28 01:15,1,0,A2,"20,500",Col. tras. c/outro veíc. em mov.
Barreiro,2010-11-25 13:45,0,1,R. Miguel Bombarda,,Atropelamento de peões
,,,,Av. do Bocage junto ao,,
Barreiro,2010-11-30 03:30,0,1,,,Atropelamento com fuga
,,,,"Estabelecimento "" Princesa 7",,
Barreiro,2010-11-30 18:10,0,1,R. Capitães de Abril,,At r o  p  e  l a  me  n  t od  ep  eões
Barreiro,2010-12-04 02:55,1,2,Av. Escola dos Fuzileiros Navais,,Despiste s/dispositivo retenção
Barreiro,2010-12-17 11:50,0,1,IC21,"4,400",Despiste simples
Grândola,2010-03-12 20:40,1,0,EN261,"17,250",Despiste simples
Grândola,2010-05-04 23:55,0,2,EN120,"14,700",Colisão frontal
Grândola,2010-07-10 02:15,0,1,A2,"114,400",Col. tras. c/outro veíc. em mov.
Grândola,2010-07-21 17:20,0,1,EN120,"18,330",Colisão com outras situações
Grândola,2010-08-22 06:25,0,1,ER253-1,"13,300",Despiste c/capotamento
Grândola,2010-10-05 05:40,1,0,A2,"103,500",Atropelamento com fuga
Grândola,2010-12-14 06:35,0,2,EM543,,Col. lat.c/outro veíc. em mov.
Moita,2010-02-14 15:20,0,1,EM1022,"0,600",Col. tras. c/outro veíc. em mov.
Moita,2010-06-10 19:30,0,1,R. Ville Plaisir,,Atropelamento de peões
Moita,2010-06-27 21:25,0,1,R FERNANDO PESSOA,,Col. lat.c/outro veíc. em mov.
Moita,2010-06-28 18:00,0,1,R. das Margaridas,,Colisão c/veic./obst. f.rodagem
Moita,2010-07-10 18:30,0,1,EM1022,"1,500",Col. lat.c/outro veíc. em mov.
Moita,2010-08-29 16:40,0,1,Estrada da Amizade,,Col. lat.c/outro veíc. em mov.
Moita,2010-09-23 08:45,0,1,EN11,"28,000",Col. tras. c/outro veíc. em mov.
Moita,2010-12-04 19:15,0,1,Av. José Almada Negreiros,,Atropelamento de peões
Moita,2010-12-10 13:15,0,1,EN11,"24,600",Desp. c/transp.disp. ret. lateral
Moita,2010-12-22 19:45,1,0,EN11-1,,Atropelamento de peões
Montijo,2010-01-01 03:00,0,2,EN4,"39,550",Despiste c/dispositivo retenção
Montijo,2010-01-18 13:10,1,3,Outra Via,,Despiste c/capotamento
Montijo,2010-01-28 20:30,1,1,EN11,"31,400",Col. lat.c/outro veíc. em mov.
Montijo,2010-03-18 19:15,0,1,AV PEDRO NUNES,,Atropelamento de peões
Montijo,2010-03-28 19:45,1,0,EN10,"72,300",Col. lat.c/outro veíc. em mov.
Montijo,2010-04-11 14:45,0,1,IP1,"9,300",Col. lat.c/outro veíc. em mov.
Montijo,2010-06-02 22:30,0,2,Av. Fialho Gouveia,,Colisão com outras situações
Montijo,2010-07-14 05:45,1,0,EN10,"81,500",Colisão com outras situações
Montijo,2010-07-20 17:45,1,0,Outra Via,,Despiste simples
Montijo,2010-08-09 06:00,0,1,EM533,"8,000",Atropelamento com fuga
Montijo,2010-09-06 19:00,0,1,Av. Fialho Gouveia,,Colisão com outras situações
Montijo,2010-10-02 07:00,1,0,R. José Neto,,Despiste s/dispositivo retenção
Montijo,2010-10-07 13:50,0,1,R. Joaquim de Almeida 228,,Colisão com outras situações
Montijo,2010-10-08 18:25,1,0,Estrada do Penas,,D  e  s  p  i s  t es  / d  is  p  o  s  i t i v o retenção
Montijo,2010-10-25 07:00,0,1,EM501,,Despiste s/dispositivo retenção
Montijo,2010-11-10 19:30,0,1,R. do Pocinho das Nascentes,,Co  l.la  t . c  / o  u  t r ov  e  í c  .e  mm  ov.
Montijo,2010-12-14 10:15,1,0,R. do Pocinho das Nascentes,,Colisão com outras situações
Palmela,2010-01-01 17:30,0,1,EM533-1,,Col. lat.c/outro veíc. em mov.
Palmela,2010-01-14 20:05,0,1,EN252,"1,881",Col. lat.c/outro veíc. em mov.
Palmela,2010-01-20 08:25,1,0,A12,"19,910",Desp. c/transp.disp. ret. lateral
Palmela,2010-01-24 07:45,0,1,EM542,,Desp. c/col. c/veíc. imobil./obst.
Palmela,2010-03-14 13:15,1,0,EN379,"26,700",Desp. c/col. c/veíc. imobil./obst.
Palmela,2010-03-23 21:00,1,0,EN252,"12,000",Colisão frontal
Palmela,2010-05-15 01:15,0,1,R. Depósito de Água  - Poceirão,,Despiste c/capotamento
Palmela,2010-05-20 17:25,0,1,EM533,,Col. lat.c/outro veíc. em mov.
Palmela,2010-05-21 03:50,0,1,EN5,"25,500",Despiste s/dispositivo retenção
Palmela,2010-05-24 21:50,0,1,Av. Visc. Tojal - Cabanas,,Atropelamento de peões
Palmela,2010-06-06 19:15,1,0,R 9 DE MARÇO,,Despiste simples
Palmela,2010-06-26 08:20,1,0,EM575,,Atropelamento de peões
Palmela,2010-06-27 15:00,0,1,EM533,"17,000",Despiste s/dispositivo retenção
Palmela,2010-07-05 18:40,0,1,R JOSE PEIXOTO,,Despiste c/col. co/veíc. imobil./obst.
Palmela,2010-07-13 08:20,0,2,EM533,,Colisão lat.c/outro veíc. em mov.
Palmela,2010-07-19 10:30,0,1,R VALE ALECRIM,,Despiste simples
Palmela,2010-07-22 09:50,0,1,Av. Alberto Valente-Volta da Pedra,,Atropelamento de peões
Palmela,2010-07-24 07:00,0,1,EN379,"29,000",Despiste simples
Palmela,2010-07-24 18:00,1,0,IC1,"588,500",Colisão lat.c/outro veíc. em mov.
Palmela,2010-08-06 15:15,0,1,A13,"8,600",Despiste c/capotamento
Palmela,2010-08-19 11:54,1,1,A2,"29,400",Despiste simples
Palmela,2010-08-27 12:30,1,0,EN379-2,"5,210",Colisão frontal
Palmela,2010-09-04 16:30,0,1,Estrada Municipal,,Despiste c/capotamento
Palmela,2010-09-05 11:00,0,1,AV VISCONDE TOJAL,,Colisão tras. c/outro veíc. em mov.
Palmela,2010-09-07 01:30,0,2,EN379-2,"5,550",Colisão lat.c/outro veíc. em mov.
Palmela,2010-10-03 18:30,4,4,EN10,"52,770",Colisão lat.c/outro veíc. em mov.
Palmela,2010-10-09 05:45,1,0,A2,"38,100",Despiste c/capotamento
Palmela,2010-10-11 07:30,0,1,EM533,,Atropelamento de peões
Palmela,2010-10-17 01:10,0,1,EN379,"28,220",Colisão lat.c/outro veíc. em mov.
Palmela,2010-10-18 05:30,0,1,EN5,"25,500",Colisão com outras situações
Palmela,2010-10-28 15:00,0,1,EN5,"22,800",Colisão lat.c/outro veíc. em mov.
Palmela,2010-11-12 07:45,0,1,R JOSÉ MESTRE CCI,,Colisão frontal
Palmela,2010-11-25 22:00,0,1,R DOS MARÇALOS,,Colisão lat.c/outro veíc. em mov.
Palmela,2010-11-28 13:20,0,1,R AGRO PECUARIA,,Despiste s/dispositivo retenção
Palmela,2010-12-03 22:45,0,1,EM1029,"51,000",Despiste simples
Palmela,2010-12-14 09:00,0,1,EN379,"27,000",Atropelamento de peões
Palmela,2010-12-19 23:40,0,1,R. António Cavaleiro,,Despiste simples
Palmela,2010-12-30 18:50,0,1,ESTRADA VILA AMELIA,,Colisão frontal
Santiago Cacém,2010-01-08 18:30,0,1,EM1075,,Colisão c/veic./obst. f.rodagem
Santiago Cacém,2010-03-07 20:50,1,0,IC1,"624,400",Colisão lat.c/outro veíc. em mov.
Santiago Cacém,2010-03-19 22:35,0,1,EN120,"74,050",Colisão lat.c/outro veíc. em mov.
Santiago Cacém,2010-04-21 18:30,0,1,EM1077,,Despiste simples
Santiago Cacém,2010-05-13 01:30,0,1,EN261,"79,400",Despiste com fuga
Santiago Cacém,2010-05-18 14:10,0,1,IP8,"11,912",Despiste c/capotamento
Santiago Cacém,2010-05-18 15:20,1,0,ER262,"43,500",Despiste simples
Santiago Cacém,2010-05-26 12:35,0,1,AV SANTIAGO,,Atropelamento de peões
Santiago Cacém,2010-06-10 10:09,1,1,IC1,"624,200",Colisão lat.c/outro veíc. em mov.
Santiago Cacém,2010-07-24 12:15,2,3,IC33,"23,200",Colisão choque em cadeia
Santiago Cacém,2010-08-14 21:30,0,1,IC1,"627,180",Atropelamento de peões
Santiago Cacém,2010-08-21 23:10,0,1,EN261,"43,000",Despiste simples
Santiago Cacém,2010-10-26 10:00,0,1,EN120,"62,400",Despiste simples
Santiago Cacém,2010-11-09 18:00,0,1,AV DE SINES,,Atropelamento de peões
Santiago Cacém,2010-12-22 13:29,1,0,IC33,"19,000",Colisão frontal
Seixal,2010-01-06 17:40,0,1,Av. da República,,Atropelamento de peões
Seixal,2010-01-17 02:30,0,3,A2,"18,230",Colisão tras. c/outro veíc. em mov.
Seixal,2010-01-25 18:30,0,1,Av. Vale da Romeira,,Atropelamento de peões
Seixal,2010-01-31 16:00,0,1,R. Bento Moura Portugal,,Colisão frontal
Seixal,2010-02-15 14:45,0,1,A2,"15,600",Despiste simples
Seixal,2010-03-09 12:00,1,0,R. Manuel Ferreira,,Atropelamento de peões
Seixal,2010-03-19 08:05,0,1,R. Oficinas da Fertagus,,Despiste c/capotamento
Seixal,2010-03-24 20:10,0,1,R. do Casal do Marco,,Colisão frontal
Seixal,2010-03-27 04:00,0,1,Av. dos Metalúrgicos,,Despiste c/dispositivo retenção
Seixal,2010-04-19 11:45,0,1,EN378,"6,900",Colisão frontal
Seixal,2010-04-21 09:30,1,0,EN10-2,"0,200",Colisão tras. c/outro veíc. em mov.
Seixal,2010-04-29 00:20,0,1,R. Garcia de Resende,,Colisão com outras situações
Seixal,2010-04-29 22:35,0,1,Av. 1o de Maio,,Atropelamento com fuga
Seixal,2010-05-15 02:25,0,1,EN10,"14,300",Despiste c/capotamento
Seixal,2010-05-23 09:10,0,1,Av. 25 de Abril,,Atropelamento de peões
Seixal,2010-06-12 17:10,0,1,R. Dr. Emídio G. Garcia Mendes,,Colisão com outras situações
Seixal,2010-06-19 13:15,0,1,R. Luís de Camões,,Atropelamento de peões
Seixal,2010-06-29 18:00,0,1,Av. 10 de Junho'F. Ferro,,Colisão tras. c/outro veíc. em mov.
Seixal,2010-07-04 06:50,0,1,R. Manuel Ribeiro,,Atropelamento de peões
Seixal,2010-07-05 20:40,0,1,Av. Vale de Milhaços,,Colisão lat.c/outro veíc. em mov.
Seixal,2010-07-12 23:45,0,1,Av.Libert. de Timor Leste,,Colisão lat.c/outro veíc. em mov.
Seixal,2010-08-11 00:20,1,0,A2,"21,700",Atropelamento de peões
Seixal,2010-08-20 09:15,0,1,Av. 1o de Maio,,Colisão com outras situações
Seixal,2010-09-16 14:00,0,1,Av. 25 de Abril,,C  o  l i s  ã  of r o  n  t a  l
Seixal,2010-10-15 09:20,0,1,Av. Vale de Milhaços,,Colisão lat.c/outro veíc. em mov.
Seixal,2010-10-20 08:20,0,1,R. da Estação (Fertagus - Foros de Amora),,Atropelamento de peões
Seixal,2010-11-01 16:35,0,2,R. Infante Dom Augusto,,C  o  l i s  ã  of r o  n  t a  l
Seixal,2010-11-04 07:30,1,0,AV DAS LARANJEIRAS,,Atropelamento de peões
Seixal,2010-11-08 12:20,0,1,Av. Dr. Arlindo Vicente,,Co  li s  ã  ol a  t . c  / o  u  t r ov  e  í c .  e  m  mov.
Seixal,2010-12-01 00:10,0,1,EN378,"7,000",Atropelamento de peões
Seixal,2010-12-13 20:05,0,1,R. dos Foros de Amora,,Atropelamento de peões
Seixal,2010-12-20 16:20,0,1,A2,"15,600",Despiste c/col. co/veíc. imobil./obst.
Sesimbra,2010-01-27 09:30,1,0,R NOVA FAULHA,,Atropelamento de peões
Sesimbra,2010-05-20 18:15,0,1,R 25 ABRIL,,Atropelamento de peões
Sesimbra,2010-07-10 13:45,1,0,EST DO CASALÃO,,Colisão lat.c/outro veíc. em mov.
Sesimbra,2010-10-14 11:55,0,1,EN378,"23,000",Atropelamento de peões
