Concelho,Datahora,M,FG,Via,Km,Natureza
Alcacer do Sal,28-01-2011 06:50,0,1,-,"65,145",Colisão com fuga
Alcacer do Sal,18-03-2011 16:30,0,1,-,-,Atropelamento com fuga
Alcacer do Sal,08-10-2011 15:00,0,1,-,-,Despiste com colisão com veículo imobil. ...
Alcacer do Sal,03-10-2011 12:35,1,1,A2,"67,000",Despiste com capotamento
Alcacer do Sal,19-07-2011 12:30,0,1,A2,"78,200",Despiste com capotamento
Alcacer do Sal,01-12-2011 10:45,1,0,A2,"81,820",Colisão traseira com outro veículo em m...
Alcacer do Sal,21-10-2011 12:15,0,1,CAMINHO AGRICO...,-,Despiste com capotamento
Alcacer do Sal,23-06-2011 01:00,0,2,EN120,"7,817",Colisão frontal
Alcacer do Sal,30-04-2011 14:15,0,1,EN253,"24,425",Despiste com capotamento
Alcacer do Sal,14-06-2011 20:20,0,1,EN253,"27,020",Atropelamento com fuga
Alcacer do Sal,01-02-2011 21:55,0,2,EN253,"27,136",Despiste com capotamento
Alcacer do Sal,18-11-2011 17:40,0,1,EN253,"32,590",Atropelamento com fuga
Alcacer do Sal,02-06-2011 10:05,1,0,EN5,"37,760",Colisão lateral com outro veículo em mov...
Alcacer do Sal,18-11-2011 19:30,0,3,EN5,"42,096",Colisão lateral com outro veículo em mov...
Alcacer do Sal,03-01-2011 18:20,0,2,EN5,"45,915",Colisão frontal
Alcacer do Sal,09-04-2011 17:27,0,1,EN5,"48,200",Despiste com capotamento
Alcacer do Sal,19-09-2011 19:58,1,0,EN5,"56,600",Colisão com veiculo ou obstáculo na faix...
Alcacer do Sal,03-08-2011 21:30,1,0,EN5,"81,153",Despiste simples
Alcacer do Sal,07-05-2011 07:15,0,1,EN5,"82,540",Despiste simples
Alcacer do Sal,17-07-2011 15:50,0,1,ER253,"4,300",Colisão lateral com outro veículo em mov...
Alcacer do Sal,10-12-2011 16:50,0,4,IC1,"60,700",Colisão frontal
Alcochete,27-12-2011 17:30,1,0,AV EURO 2004,-,Colisão com veiculo ou obstáculo na faix...
Alcochete,08-11-2011 11:40,0,1,EM502,"0,850",Colisão traseira com outro veículo em m...
Alcochete,10-10-2011 15:50,1,0,EM502,"1,500",Colisão frontal
Alcochete,03-12-2011 20:10,0,1,EM502,"3,600",Despiste com colisão com veículo imobil. ...
Alcochete,02-08-2011 18:45,0,1,EN4,"23,400",Colisão frontal
Alcochete,22-10-2011 06:25,0,1,PNTV.GAMA,"10,200",Colisão traseira com outro veículo em m...
Alcochete,28-02-2011 14:30,0,1,PRAÇA DA REPUBL...,-,Despiste sem dispositivo de retenção
Alcochete,25-02-2011 22:55,0,2,R DA LIBERDADE ...,-,Colisão frontal
Alcochete,11-12-2011 13:15,0,1,R QTA DA PRAIA,-,Colisão traseira com outro veículo em m...
Almada,01-06-2011 10:15,0,1,A2,"6,600",Colisão traseira com outro veículo em m...
Almada,11-06-2011 02:20,0,1,A2,"6,800",Colisão traseira com outro veículo em m...
Almada,07-12-2011 18:21,0,1,AV AFONSO ALBU...,-,Atropelamento de peões
Almada,05-08-2011 16:00,0,1,AV AFONSO ALBU...,-,Atropelamento de peões
Almada,05-11-2011 16:30,0,1,AV DO OCEANO 5,-,Atropelamento de peões
Almada,25-01-2011 14:40,0,1,Ava Arsenal do Alfe...,-,Atropelamento de peões
Almada,13-07-2011 21:00,1,0,Avenida 23 de Julh...,-,Atropelamento de peões
Almada,22-05-2011 14:50,1,0,Avenida do Arsenal...,-,Despiste simples
Almada,01-10-2011 18:45,0,1,Avenida do Cristo ...,-,Atropelamento de peões
Almada,03-01-2011 18:45,0,1,Avenida Rainha Do...,-,Atropelamento de peões
Almada,22-10-2011 18:00,1,1,EST DAS MATAS N...,-,Atropelamento de peões
Almada,15-08-2011 00:00,0,1,Estrada da Algazar...,-,Colisão choque em cadeia
Almada,26-01-2011 20:15,1,0,ESTRADA MATAS ...,-,Atropelamento com fuga
Almada,15-10-2011 01:20,1,0,IC20,"1,800",Colisão traseira com outro veículo em m...
Almada,29-12-2011 10:40,0,1,IC20,"2,250",Atropelamento de peões
Almada,15-04-2011 18:30,0,1,IC20,"3,600",Colisão choque em cadeia
Almada,06-02-2011 04:00,0,1,IC20,-,Despiste com dispositivo de retenção
Almada,09-03-2011 09:40,0,1,Largo da Romeira 0.,-,Atropelamento de peões
Almada,09-06-2011 14:15,1,0,Praça Francisco Ta...,-,Atropelamento de peões
Almada,16-11-2011 17:45,1,0,R DR HORACIO SI...,-,Atropelamento com fuga
Almada,25-08-2011 15:15,0,1,R QTA DA CERIEIR...,-,Atropelamento de peões
Almada,10-05-2011 10:45,0,1,R VALE FIGUEIRA 5,-,Atropelamento de peões
Almada,15-02-2011 18:50,1,0,Rua da União Pied...,-,Atropelamento de peões
Almada,27-07-2011 21:00,0,1,Rua Doutor Antóni...,-,Colisão com outras situações
Almada,21-04-2011 21:40,0,1,Rua Doutor Antóni...,-,Atropelamento de peões
Almada,16-12-2011 17:50,0,1,Rua José Carlos de...,-,Atropelamento de peões
Almada,03-12-2011 08:20,0,3,Rua Quinta do Secr...,-,Colisão frontal
Barreiro,07-11-2011 18:00,0,1,Av. Escola Fuzileiro...,-,Atropelamento de peões
Barreiro,30-09-2011 08:05,0,1,Avenida do Bocage...,-,Atropelamento de peões
Barreiro,21-09-2011 19:50,0,1,Avenida dos Ocean...,-,Colisão frontal
Barreiro,04-09-2011 22:20,0,1,EN10-3,"2,300",Atropelamento de peões
Barreiro,21-07-2011 23:50,0,1,EN10-3,"4,250",Despiste simples
Barreiro,12-04-2011 18:05,0,1,EN10-3,-,Colisão lateral com outro veículo em mov...
Barreiro,15-12-2011 14:50,0,1,IC21,"2,500",Despiste simples
Barreiro,,22-01-2011 08:40,1,0IC21,,"7,150",Atropelamento de peões
Barreiro,,03-07-2011 04:10,0,1IC21,,"7,600",Despiste simples
Barreiro,,21-02-2011 20:30,0,1R ALBERTO PINTO 9,,-,Atropelamento de peões
Barreiro,,06-07-2011 16:48,0,2R ALMIRANTE REI...,,-,Despiste com colisão com veículo imobil. ...
Barreiro,,04-05-2011 00:45,0,1R ANTONIO ALEIX...,,-,Despiste com colisão com veículo imobil. ...
Barreiro,,15-08-2011 15:45,1,0RUA 6 35,,-,Despiste com colisão com veículo imobil. ...
Barreiro,,01-01-2011 00:30,1,0Rua Cândido Manu...,,-,Despiste com colisão com veículo imobil. ...
Barreiro,,22-06-2011 15:30,0,1Rua da Amizade 109,,-,Atropelamento de peões
Barreiro,,26-04-2011 08:30,0,1Rua Dom Afonso d...,,-,Atropelamento de peões
Barreiro,,30-05-2011 10:10,0,1Rua Miguel Bomba...,,-,Atropelamento de peões
Grandola,,12-06-2011 10:00,0,1AV ANTONIO INAC...,,-,Colisão frontal
Grandola,,24-05-2011 10:30,0,1AV FREDERICO VE...,,-,Colisão lateral com outro veículo em mov...
Grandola,,09-07-2011 03:00,0,1EN261,,"23,117",Despiste com capotamento
Grandola,,11-01-2011 17:50,0,1EN261-1,,"5,600",Colisão lateral com outro veículo em mov...
Grandola,,01-08-2011 12:00,0,1EN261-1,,"14,930",Despiste com transposição do dispositivo...
Grandola,,23-07-2011 21:45,1,0IC1,,"599,900",Atropelamento de peões
Grandola,,04-08-2011 15:30,0,1IC1,,"602,300",Despiste com transposição do dispositivo...
Grandola,,08-08-2011 06:40,0,1URB SOLTROIA 369,,-,Despiste com colisão com veículo imobil. ...
Moita,,21-10-2011 20:00,0,1Avenida 1o de Mai...,,-,Colisão lateral com outro veículo em mov...
Moita,,15-11-2011 18:10,1,0Avenida Capitães d...,,-,Colisão lateral com outro veículo em mov...
Moita,,02-06-2011 10:15,1,0EN11,,"22,450",Colisão com veiculo ou obstáculo na faix...
Moita,,09-07-2011 21:00,0,1EN11-2,,-,Colisão frontal
Moita,,03-09-2011 08:40,0,2EN379-2,,"8,300",Despiste simples
Moita,,02-03-2011 13:00,1,1EN379-2,,"9,900",Colisão lateral com outro veículo em mov...
Moita,,17-05-2011 15:15,1,0ESTRADA DA MAE ...,,-,Colisão frontal
Moita,,06-03-2011 08:00,0,1IC32,,"4,700",Despiste com capotamento
Moita,,24-09-2011 01:20,0,1R LUIS DE CAMOE...,,-,Despiste com capotamento
Moita,,16-06-2011 03:00,0,1R POVO UNIDO,,-,Atropelamento com fuga
Montijo,,19-04-2011 16:30,0,2A13,,"28,400",Despiste com colisão com veículo imobil. ...
Montijo,,05-06-2011 21:00,0,1ACC-IC32,,-,Despiste simples
Montijo,,13-06-2011 12:40,0,1Avenida dos Pesca...,,-,Atropelamento de peões
Montijo,,16-11-2011 18:45,1,0Avenida Luís de Ca...,,-,Atropelamento de peões
Montijo,,16-01-2011 09:30,0,1Circular Externa .,,-,Despiste com colisão com veículo imobil. ...
Montijo,,11-06-2011 12:20,0,1EN10,,"68,024",Colisão lateral com outro veículo em mov...
Montijo,,01-09-2011 16:00,0,1EN10,,"71,600",Despiste com transposição do dispositivo...
Montijo,,24-08-2011 05:30,1,0EN10,,"78,000",Despiste simples
Montijo,,11-06-2011 15:20,0,1EN251,,"8,380",Despiste simples
Montijo,,12-01-2011 05:40,0,1EN252,,"2,500",Despiste com transposição do dispositivo...
Montijo,,16-08-2011 07:05,0,1EN4,,"39,600",Despiste simples
Montijo,,26-10-2011 20:25,0,1EN4,,"46,160",Colisão frontal
Montijo,,03-03-2011 13:05,0,1Estrada do Penas s/n,,-,Atropelamento de peões
Montijo,,17-11-2011 18:15,1,0Estrada Real s/n,,-,Atropelamento de peões
Montijo,,21-05-2011 07:15,0,1IC32,,"14,500",Colisão traseira com outro veículo em m...
Montijo,,21-09-2011 21:43,1,0PNTV.GAMA,,"16,500",Despiste com capotamento
Palmela,,23-10-2011 16:10,1,2-,,-,Colisão frontal
Palmela,,26-11-2011 16:50,0,2A12,,"16,200",Colisão traseira com outro veículo em m...
Palmela,,10-12-2011 17:05,1,0A2,,"45,800",Despiste simples
Palmela,,11-12-2011 02:40,0,1AV DOS FERROVIA...,,-,Despiste com capotamento
Palmela,,12-09-2011 20:30,0,1EM531,,-,Colisão frontal
Palmela,,27-01-2011 19:45,0,1EM533-1,,-,Colisão traseira com outro veículo em m...
Palmela,,24-01-2011 20:00,0,1EM534,,-,Colisão frontal
Palmela,,02-03-2011 12:20,0,2EN10,,"51,900",Despiste com colisão com veículo imobil. ...
Palmela,,25-12-2011 21:30,1,0EN10,,"52,600",Atropelamento de peões
Palmela,,01-03-2011 11:00,0,1EN10,,"63,200",Colisão frontal
Palmela,,23-03-2011 04:30,0,1EN10,,"63,400",Despiste com colisão com veículo imobil. ...
Palmela,,07-05-2011 13:45,0,1EN379,,"28,600",Colisão traseira com outro veículo em m...
Palmela,,23-06-2011 06:40,1,0EN379,,"32,092",Colisão frontal
Palmela,,30-12-2011 16:20,1,0EN379,,"36,400",Colisão lateral com outro veículo em mov...
Palmela,,26-01-2011 08:45,1,0ESTYRADA FANDA...,,-,Colisão frontal
Palmela,,05-08-2011 04:15,1,0R DIVISAO DA MA...,,-,Colisão lateral com outro veículo em mov...
Palmela,,05-03-2011 18:55,0,1R DO COMERCIO,,-,Despiste com fuga
Palmela,,29-07-2011 07:40,0,1R DO ZINCO - ZON...,,-,Colisão frontal
Palmela,,17-04-2011 18:20,0,1R JOSE CARVALHO,,-,Despiste com colisão com veículo imobil. ...
Palmela,,07-06-2011 17:30,0,1R SANHEIROS,,-,Despiste simples
Palmela,,11-01-2011 20:00,1,0RUA FOROS DAS P...,,-,Colisão com fuga
Santiago do Cacem,,20-11-2011 02:30,1,0-,,-,Colisão frontal
Santiago do Cacem,27-08-2011 20:50,0,1,AV NUNO ALVARE...-,Atropelamento de peões
Santiago do Cacem,19-07-2011 12:20,0,1,CRUZAMENTO DA ...-,Colisão lateral com outro veículo em mov...
Santiago do Cacem,01-08-2011 18:00,0,1,EM1112-,Colisão frontal
Santiago do Cacem,23-03-2011 13:00,0,1,EM555-,Despiste com colisão com veículo imobil. ...
