Concelho Datahora M* FG* Via,km,Natureza
Arcos de Valdevez  2006:05:29 19:55:00 0 1 EN101,"53,500",Col.c/veic.ou obst.na faixa de rod.
Arcos de Valdevez  2006:09:23 02:40:00 0 2 IC28,"6,000",Desp.c/col.c/veíc.imobil.ou obst.
Caminha 2006:01:12 21:25:00 1 0 EN13,"84,200",Col.lat.c/outro veíc.em mov.
Caminha 2006:08:23 20:20:00 0 1 EN13,"86,900",Desp.c/capotamento
Caminha 2006:11:18 01:35:00 0 1 EN13,"93,100",Col.lat.c/outro veíc.em mov.
Melgaco 2006:04:04 15:00:00 0 1 EN202,"100,200",Col.lat.c/outro veíc.em mov.
Melgaco 2006:06:10 23:20:00 0 2 EN202,"17,600",Colisão frontal
Melgaco 2006:07:29 16:00:00 1 0 EM528,,Desp.s/disposi.de ret.
Melgaco 2006:08:30 20:30:00 1 0 Estrada Municipal,,Despiste simples
Melgaco 2006:09:03 17:00:00 0 1 EN202,"26,000",Despiste simples
Moncao 2006:01:30 22:40:00 1 0 EN202,"116,075",Despiste simples
Moncao 2006:06:01 16:30:00 0 1 EN202,,Atrop.de peões
Moncao 2006:06:08 14:00:00 1 6 EN202,"68,600",Colisão frontal
Moncao 2006:08:16 16:30:00 0 2 Estrada Municipal,,Colisão frontal
Moncao 2006:08:21 03:35:00 0 1 EN101,"16,200",Despiste simples
Paredes de Coura 2006:08:23 21:30:00 1 0 EN306,"1,200",Atrop.de peões
Ponte da Barca 2006:02:27 09:30:00 0 1 EN101,"59,100",Colisão frontal
Ponte da Barca 2006:07:19 19:05:00 0 1 Av. da Comunidade Europeia,,Atrop.de peões
Ponte da Barca 2006:10:14 23:30:00 0 1 EN203,"55,600",Col.lat.c/outro veíc.em mov.
Ponte da Barca 2006:10:15 19:30:00 0 2 EN101,"59,650",Col.lat.c/outro veíc.em mov.
Ponte de Lima 2006:01:30 07:05:00 0 1 EN204,"8,400",Colisão frontal
Ponte de Lima 2006:02:28 04:30:00 0 2 EN306,"16,650",Colisão frontal
Ponte de Lima 2006:03:11 20:00:00 0 1 EN204,"6,750",Desp.c/capotamento
Ponte de Lima 2006:04:01 18:15:00 0 1 EN201,"39,500",Colisão frontal
Ponte de Lima 2006:04:25 15:45:00 0 1 EN201,"45,750",Col.lat.c/outro veíc.em mov.
Ponte de Lima 2006:05:03 08:45:00 0 2 EN308,"22,000",Col.lat.c/outro veíc.em mov.
Ponte de Lima 2006:05:12 04:40:00 0 1 A3,"84,060",Col.tras.c/outro veíc.em mov.
Ponte de Lima 2006:07:08 14:15:00 0 1 A3,"83,530",Desp.c/transp.do disp.de ret.lat.
Ponte de Lima 2006:07:17 19:00:00 0 1 EN201,,Colisão frontal
Ponte de Lima 2006:07:22 08:00:00 0 1 EN308,"20,100",Col.tras.c/outro veíc.em mov.
Ponte de Lima 2006:07:31 17:30:00 0 1 Estrada Municipal,,Colisão frontal
Ponte de Lima 2006:08:05 20:45:00 0 1 EN201,"47,000",Col.lat.c/outro veíc.em mov.
Ponte de Lima 2006:08:06 19:00:00 1 2 EN306,"34,100",Desp.c/capotamento
Ponte de Lima 2006:09:05 12:00:00 1 0 Estrada Florestal,,Desp.c/capotamento
Ponte de Lima 2006:10:10 12:00:00 0 1 EN202,"21,100",Atrop.de peões
