Concelho,Datahora,M,FG,Via,km,Natureza
Arc. de Valdevez,2009-10-16 11:15,0,1,Estrada Municipal,,Despiste c/ capotamento
Caminha,2009-08-17 21:00,0,2,R S SEBASTIAO,,Despiste simples
Caminha,2009-06-28 20:50,0,1,A28,"92,200",Desp. c/disp. de retenção
Caminha,2009-08-21 20:30,0,2,ACC-A28,"3,500",Colisão frontal
Monção,2009-10-06 19:15,1,1,EN202,"8,600",Colisão frontal
Monção,2009-02-11 15:45,1,0,EN101,"29,730",Atropelamento de peões
Monção,2009-01-27 18:50,1,0,EST ARCOS,,Atropelamento de peões
Monção,2009-04-24 20:30,1,0,AV BOAVISTA,,Col. c/veic./obst.f.rodagem
Monção,2009-08-07 12:10,0,1,EN101,"24,280",Col. lat. c/outro veíc. mov
Monção,2009-08-07 18:15,0,1,Estrada Municipal,,Despiste simples
Monção,2009-10-03 18:15,0,1,EM1106,,Colisão frontal
Monção,2009-05-29 08:30,0,1,EN101,"24,200",Col. lat. c/outro veíc. mov
Paredes de Coura,2009-04-18 22:05,1,0,EN303,7.1,Despiste c/ capotamento
Paredes de Coura,2009-10-04 20:40,0,1,A3,"87,825",Desp. s/disp. retenção
Paredes de Coura,2009-11-22 14:15,0,1,EN303,"11,670",Atropelamento de peões
Ponte da Barca,2009-05-15 08:45,1,0,AV LIBERDADE,,Despiste simples
Ponte da Barca,2009-01-05 15:25,0,1,EN101,"58,360",Col. lat. c/outro veíc. mov
Ponte da Barca,2009-09-21 12:15,1,0,LUGAR MATA,,Despiste c/ capotamento
Ponte de Lima,2009-11-08 13:10,0,4,EN201,"40,100",Colisão frontal
Ponte de Lima,2009-06-19 07:10,0,1,EM534,,Despiste simples
Ponte de Lima,2009-06-13 16:09,1,0,EN204,"5,400",Desp. s/disp. retenção
Ponte de Lima,2009-03-16 10:30,0,1,EN203,"19,140",Col. c/veic./obst.f.rodagem
Ponte de Lima,2009-01-26 10:15,0,1,EN204,"9,880",Despiste c/ capotamento
Ponte de Lima,2009-09-30 17:10,0,1,EN308,"20,950",Col. lat. c/outro veíc. mov
Ponte de Lima,2009-02-28 07:45,0,1,EN306,"20,500",Colisão frontal
Ponte de Lima,2009-08-15 17:45,0,1,Estrada Municipal,,Despiste simples
Ponte de Lima,2009-05-02 09:30,1,1,IC28,"1,100",Desp. c/disp. de retenção
Ponte de Lima,2009-09-03 16:20,1,0,A3,"7,200",Col. lat. c/outro veíc. mov.
Ponte de Lima,2009-09-06 14:15,1,2,IC28,"0,730",Colisão frontal
Ponte de Lima,2009-02-18 09:00,0,1,EN201,"43,450",Atropelamento de peões
Ponte de Lima,2009-03-28 19:45,0,1,EM549,,Despiste simples
Valença,2009-05-09 19:10,0,1,EN201,"2,400",Colisão com fuga
Valença,2009-02-15 23:00,0,2,EN13,"117,500",Col. lat. c/outro veíc. mov
Valença,2009-05-09 20:10,1,0,Estrada Municipal,,Despiste c/ capotamento
Valença,2009-03-02 16:40,0,1,Estrada Municipal,,Atropelamento de peões
Valença,2009-03-31 08:25,1,0,A3,"103,470",Col. tra. c/outro veíc. mov.
Valença,2009-06-09 09:10,1,0,EN13,"112,600",Col. lat. c/outro veíc. mov
Viana do Castelo,2009-10-04 09:10,0,1,EN13,"7,400",Col. tra. c/outro veíc. mov.
Viana do Castelo,2009-09-29 18:55,0,1,EN13-3,"0,002",Despiste simples
Viana do Castelo,2009-08-29 16:45,0,1,EN202,"4,400",Col. c/veic./obst.f.rodagem
Viana do Castelo,2009-04-14 06:20,1,1,EN13,"7,900",Despiste simples
Viana do Castelo,2009-11-13 06:40,0,1,Avenida do Meio,,Col. tra. c/outro veíc. mov.
Viana do Castelo,2009-06-21 15:30,0,1,SAIDA A28,,Col. lat. c/outro veíc. mov
Viana do Castelo,2009-03-13 01:35,0,3,EN13-3,"6,400",Despiste simples
Viana do Castelo,2009-05-24 16:15,0,1,EN203,"9,700",Col. c/veic./obst.f.rodagem
Viana do Castelo,2009-05-23 21:00,1,0,A28,"70,000",Desp. c/disp. de retenção
Viana do Castelo,2009-02-24 04:45,2,1,EN305-1,"38,100",Despiste c/ capotamento
Viana do Castelo,2009-01-15 13:15,1,1,A28,"75,500",Col. tra. c/outro veíc. mov.
Viana do Castelo,2009-01-18 18:05,1,0,EN308,"7,050",Atropelamento de peões
Viana do Castelo,2009-07-19 22:45,1,0,EN13,"55,100",Despiste simples
Viana do Castelo,2009-12-12 00:20,0,1,A28,"68,600",Col. tra. c/outro veíc. mov.
Viana do Castelo,2009-11-19 13:45,0,1,R ALTO FREIXO 284,,Atropelamento de peões
Viana do Castelo,2009-12-29 19:00,1,0,EN202,"8,500",Atropelamento de peões
Viana do Castelo,2009-12-27 14:20,0,1,AV S MARTINHO 683,,Colisão frontal
V. N. Cerveira,2009-01-08 19:45,1,0,EN303,"5,000",Atropelamento de peões
V. N. Cerveira,2009-06-21 03:30,1,0,CAMINHO ZOES,,Desp. c/disp. de retenção
V. N. Cerveira,2009-07-31 14:15,1,2,EN13,"98,800",Colisão com outras situações
