Concelho,Datahora,M,FG,Via,Km,Natureza
Arcos de Valdevez,01-07-2011 07:30,0,1,-,-,Despiste com capotamento
Arcos de Valdevez,24-12-2011 02:00,0,1,AV JOSE OSVALDO...,-,Atropelamento de peões
Arcos de Valdevez,13-05-2011 07:45,0,1,EN101,"55,350",Colisão lateral com outro veículo em mov...
Arcos de Valdevez,16-01-2011 20:35,1,0,EN304,"39,700",Despiste simples
Arcos de Valdevez,08-11-2011 10:15,1,0,LUGAR DE COUTO,-,Despiste com capotamento
Caminha,02-06-2011 16:25,0,2,EN13,"82,900",Atropelamento de peões
Caminha,22-12-2011 15:45,0,1,EN13,"93,400",Colisão traseira com outro veículo em m...
Caminha,11-12-2011 19:50,0,1,EN13,"94,100",Despiste simples
Melgaco,12-08-2011 14:35,0,1,-,-,Despiste simples
Melgaco,22-02-2011 17:06,1,0,CAMINHO PARTIC...,-,Atropelamento de peões
Melgaco,21-12-2011 16:30,0,1,EN202,"21,539",Colisão lateral com outro veículo em mov...
Moncao,17-01-2011 18:20,1,0,EM505,"0,500",Atropelamento de peões
Moncao,27-04-2011 13:25,0,1,EM507,-,Colisão lateral com outro veículo em mov...
Moncao,24-02-2011 19:00,0,1,EN202,"0,700",Colisão lateral com outro veículo em mov...
Moncao,24-02-2011 19:50,0,1,EN202,"0,700",Atropelamento de peões
Moncao,14-05-2011 05:45,1,3,EN202,"2,400",Colisão frontal
Moncao,01-03-2011 17:05,0,1,LARGO DE SENDE ...,-,Colisão lateral com outro veículo em mov...
Paredes de Coura,20-11-2011 04:20,0,1,A3,"93,200",Despiste com capotamento
Paredes de Coura,27-09-2011 17:30,1,0,EM509,-,Despiste com capotamento
Paredes de Coura,14-02-2011 16:45,1,0,EM520,-,Colisão com outras situações
Paredes de Coura,04-07-2011 19:30,1,0,EN303,"22,943",Atropelamento de peões
Ponte da Barca,04-09-2011 05:48,1,0,EN101,"59,550",Despiste com colisão com veículo imobil. ...
Ponte de Lima,05-12-2011 19:30,0,1,A3,"72,475",Despiste com colisão com veículo imobil. ...
Ponte de Lima,18-06-2011 20:20,0,1,Avenida António Fe...,-,Atropelamento de peões
Ponte de Lima,01-03-2011 17:00,0,1,EM538,-,Despiste simples
Ponte de Lima,15-08-2011 16:30,0,1,EN203,"16,900",Colisão frontal
Ponte de Lima,28-06-2011 20:15,0,1,EN203,"29,000",Despiste simples
Ponte de Lima,29-01-2011 14:30,1,0,EN306,"11,000",Despiste simples
Ponte de Lima,09-04-2011 14:00,0,1,EN306,"20,600",Colisão frontal
Ponte de Lima,18-11-2011 21:20,0,1,EN308,"21,174",Despiste simples
Ponte de Lima,24-02-2011 19:30,0,1,LUGAR DO PARAIS...,-,Despiste simples
Ponte de Lima,26-12-2011 11:10,0,1,Ponte senhora da ...,-,Atropelamento de peões
Valenca,01-03-2011 08:35,2,0,-,-,Atropelamento de peões
Valenca,14-05-2011 14:30,0,1,AV BOMBEIROS DE...,-,Atropelamento de peões
Valenca,23-04-2011 14:30,0,1,EN13,"115,600",Colisão lateral com outro veículo em mov...
Viana do Castelo,20-07-2011 18:30,0,1,-,-,Atropelamento de peões
Viana do Castelo,21-05-2011 16:35,0,1,A28,"58,700",Despiste com capotamento
Viana do Castelo,15-06-2011 13:20,1,0,A28,"67,400",Colisão traseira com outro veículo em m...
Viana do Castelo,04-01-2011 15:45,1,0,A28,"69,850",Colisão lateral com outro veículo em mov...
Viana do Castelo,06-05-2011 11:10,1,0,AV DA PRAIA,-,Atropelamento de peões
Viana do Castelo,08-11-2011 17:30,0,1,Av. da Abelheira 61,-,Atropelamento de peões
Viana do Castelo,27-11-2011 18:00,1,2,EM540,-,Despiste simples
Viana do Castelo,20-07-2011 23:00,0,1,EN13,"59,800",Despiste com capotamento
Viana do Castelo,16-08-2011 11:45,1,0,EN13-3,"6,940",Colisão lateral com outro veículo em mov...
Viana do Castelo,19-02-2011 09:30,0,1,EN203,"2,400",Atropelamento de peões
Viana do Castelo,21-08-2011 01:30,0,1,EN203,"6,100",Atropelamento com fuga
Viana do Castelo,15-10-2011 03:15,0,2,EN308,"1,500",Despiste com capotamento
Viana do Castelo,28-08-2011 20:00,0,1,R 23 DE FEVEREIRO,-,Colisão com veiculo ou obstáculo na faix...
Viana do Castelo,06-09-2011 19:00,0,1,R DA LIBERDADE 20,-,Despiste simples
Viana do Castelo,23-06-2011 10:00,0,1,R LINHA DO VALE ...,-,Colisão frontal
Viana do Castelo,14-06-2011 12:30,1,0,R S SEBASTIAO - B...,-,Despiste com colisão com veículo imobil. ...
Viana do Castelo,05-05-2011 18:55,0,1,Rua da Igreja ( Me...,-,Atropelamento de peões
Viana do Castelo,26-11-2011 17:40,0,1,Rua de São Vicent...,-,Atropelamento de peões
Vila Nova de Cerveira,27-08-2011 13:05,0,1,A3,"98,000",Despiste simples
Vila Nova de Cerveira,15-09-2011 10:46,0,1,EN13,"103,533",Colisão lateral com outro veículo em mov...
Vila Nova de Cerveira,24-07-2011 04:30,2,0,EST DA LENTA,-,Despiste com capotamento
