Concelho,Datahora,M,FG,Via,Km,Natureza
Arcos de Valdevez,06-10-2013 03:30,0,1,EM202,"33,780",Despiste com colisão com veículo imobil. ou obstáculo
Arcos de Valdevez,16-10-2013 20:45,0,1,EM202,"49,350",Despiste com capotamento
Arcos de Valdevez,06-08-2013 11:30,0,1,EM505,-,Colisão lateral com outro veículo em movimento
Arcos de Valdevez,06-01-2013 16:45,1,1,EN101,"45,200",Colisão frontal
Arcos de Valdevez,25-10-2013 09:00,1,2,IC28,"9,800",Colisão lateral com outro veículo em movimento
Caminha,20-07-2013 18:20,0,2,ACC-A28,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Caminha,05-08-2013 22:00,0,1,Ava das Faias 62,-,Colisão frontal
Caminha,20-08-2013 15:00,0,2,EN13,"80,400",Colisão lateral com outro veículo em movimento
Caminha,06-08-2013 15:15,0,1,EN305,"1,200",Colisão traseira com outro veículo em movimento
Caminha,28-12-2013 17:35,1,0,Rua de Faro 180,-,Atropelamento de peões
Melgaco,16-01-2013 15:30,0,1,EN202,"15,000",Colisão frontal
Moncao,12-12-2013 23:10,1,0,EN101,"21,300",Despiste com transposição do dispositivo de retenção lateral
Moncao,21-10-2013 10:42,1,2,EN202,"10,033",Colisão frontal
Moncao,22-04-2013 19:00,1,0,Rua Vasco da Gama,-,Colisão frontal
Paredes de Coura,07-06-2013 17:40,1,0,EN201,"19,750",Despiste com capotamento
Ponte de Lima,11-06-2013 12:05,0,1,A3,"81,125",Colisão traseira com outro veículo em movimento
Ponte de Lima,31-08-2013 19:30,1,0,EM1251,-,Despiste simples
Ponte de Lima,17-05-2013 21:45,0,1,EM1273,-,Colisão lateral com outro veículo em movimento
Ponte de Lima,07-11-2013 13:45,0,1,EM537,-,Colisão frontal
Ponte de Lima,26-10-2013 17:07,0,1,EN201,"33,200",Despiste simples
Ponte de Lima,20-02-2013 19:50,0,1,EN201,"35,500",Colisão lateral com outro veículo em movimento
Ponte de Lima,16-09-2013 13:45,0,1,EN201,"39,250",Colisão traseira com outro veículo em movimento
Ponte de Lima,18-05-2013 16:50,0,1,EN201,"39,350",Despiste simples
Ponte de Lima,01-06-2013 07:21,0,1,EN203,"14,400",Despiste simples
Ponte de Lima,17-12-2013 13:15,0,1,EN203,"19,950",Colisão com outras situações
Ponte de Lima,04-01-2013 14:15,0,1,EN203,"28,070",Colisão lateral com outro veículo em movimento
Ponte de Lima,04-05-2013 22:55,0,1,Via Foral D. Teresa 1105,-,Colisão lateral com outro veículo em movimento
Ponte de Lima,09-02-2013 17:16,1,0,Via Foral Dona Teresa 987,-,Atropelamento de peões
Valenca,02-11-2013 14:35,0,2,EN101,"3,300",Colisão frontal
Valenca,15-09-2013 22:20,1,0,EN101,"4,650",Atropelamento de peões
Valenca,06-06-2013 12:50,0,1,EN13,"116,350",Atropelamento de peões
Viana do Castelo,05-09-2013 13:30,0,1,ACC-A28,-,Colisão traseira com outro veículo em movimento
Viana do Castelo,24-04-2013 12:45,0,1,Avenida 25 de Abril 700,-,Atropelamento de peões
Viana do Castelo,30-03-2013 16:20,1,0,Avenida Atlântico .,-,Atropelamento de peões
Viana do Castelo,20-01-2013 19:05,0,1,Avenida Capitão Gaspar de Castro 1,-,Atropelamento de peões
Viana do Castelo,11-07-2013 12:15,0,1,Avenida Conde Carreira 0,-,Atropelamento de peões
Viana do Castelo,09-07-2013 19:35,1,0,Avenida Mateus Carvalhido .,-,Atropelamento de peões
Viana do Castelo,30-06-2013 12:00,1,0,Avenida Povoença 988,-,Colisão traseira com outro veículo em movimento
Viana do Castelo,18-03-2013 16:30,0,1,Campo da Sra da Agonia 1,-,Atropelamento de peões
Viana do Castelo,10-06-2013 21:00,0,1,EN13,"55,600",Colisão lateral com outro veículo em movimento
Viana do Castelo,02-10-2013 20:15,1,0,EN13,"60,750",Despiste simples
Viana do Castelo,02-11-2013 14:40,0,1,EN13-3,"0,400",Despiste simples
Viana do Castelo,10-04-2013 12:05,0,1,EN202,"14,300",Colisão lateral com outro veículo em movimento
Viana do Castelo,20-09-2013 08:30,0,1,EN305,"22,350",Colisão frontal
Viana do Castelo,27-05-2013 10:36,1,0,Estrada da Vacaria,-,Despiste com capotamento
Viana do Castelo,13-05-2013 19:00,0,1,Estrada do Padre Quesado,-,Colisão frontal
Viana do Castelo,04-12-2013 08:45,0,1,Rotunda Cidade Saudável 00,-,Atropelamento de peões
Viana do Castelo,30-12-2013 08:00,0,1,Rua da Igreja 0.00,-,Atropelamento de peões
Viana do Castelo,17-12-2013 09:30,0,1,Rua de S.Vicente 158,-,Colisão com outras situações
Viana do Castelo,29-08-2013 22:30,0,1,Rua Embarcadouro do Pinheiro 17,-,Atropelamento de peões
Vila Nova de Cerveira,26-01-2013 13:00,0,1,EM512,-,Despiste com colisão com veículo imobil. ou obstáculo
Vila Nova de Cerveira,29-01-2013 20:15,0,1,EN13,"109,400",Atropelamento de peões
