Concelho,Datahora,M,FG,Via,Km,Natureza
Alijo,21-04-2016 15:50,0,1,EN212,"47,200",Colisão frontal
Boticas,21-07-2016 20:00,0,1,-,-,Despiste com capotamento
Boticas,02-02-2016 14:30,0,1,ER311,"75,500",Despiste simples
Boticas,16-08-2016 14:00,0,1,Rua da Vereia,-,Despiste simples
Chaves,05-08-2016 04:30,1,1,-,"0,100",Despiste simples
Chaves,03-06-2016 21:10,0,1,-,"16,000",Atropelamento de peões
Chaves,13-10-2016 15:00,0,1,-,-,Despiste com capotamento
Chaves,05-10-2016 20:45,0,1,A24,"20,300",Atropelamento de peões
Chaves,31-07-2016 05:25,1,0,Avenida Cocanha 56,-,Despiste com colisão com veículo imobil. ou obstáculo
Chaves,28-06-2016 09:00,0,1,Avenida Dom Afonso Duque de Bragança 1,-,Atropelamento de peões
Chaves,10-10-2016 09:15,0,1,Avenida Dom João I 0,-,Colisão com outras situações
Chaves,28-07-2016 18:15,0,2,EN103,"173,100",Colisão frontal
Chaves,24-12-2016 09:40,0,1,EN103,"173,570",Despiste simples
Mesao Frio,29-04-2016 19:40,0,1,EN108,"96,280",Despiste simples
Mondim de Basto,19-10-2016 14:41,0,1,-,-,Despiste com capotamento
Mondim de Basto,17-02-2016 20:40,0,1,avenida padre martinho-mondim de basto,-,Atropelamento de peões
Montalegre,12-02-2016 18:00,1,0,EM510,-,Despiste com capotamento
Montalegre,23-01-2016 19:20,0,1,EN103,"124,330",Atropelamento de peões
Murca,29-02-2016 19:40,0,1,Rua das Macieirinhas,-,Atropelamento de peões
Peso da Regua,31-05-2016 07:00,0,1,-,-,Atropelamento de peões
Peso da Regua,20-06-2016 10:30,0,1,costa do vale,-,Despiste com capotamento
Peso da Regua,09-07-2016 09:35,0,1,Largo do Aviadores - Peso da Régua,-,Despiste simples
Peso da Regua,29-08-2016 22:42,1,0,Rua da Lousada,-,Despiste simples
Peso da Regua,03-06-2016 18:45,0,1,travessa do bairro,-,Atropelamento de peões
Ribeira de Pena,23-07-2016 14:57,1,0,-,"0,150",Atropelamento de peões
Ribeira de Pena,21-01-2016 15:56,1,1,A7,"90,125",Colisão lateral com outro veículo em movimento
Ribeira de Pena,10-08-2016 18:30,0,1,Rua do Tâmega,-,Despiste simples
Sabrosa,28-08-2016 17:50,0,1,-,-,Despiste simples
Sabrosa,10-09-2016 11:15,0,1,-,-,Despiste com capotamento
Santa Marta de Penaguiao,23-11-2016 17:30,0,1,EN2,"78,800",Colisão com fuga
Valpacos,14-03-2016 19:15,0,1,EN213,"17,450",Atropelamento de peões
Valpacos,10-01-2016 04:00,0,1,EN213,"24,300",Despiste simples
Valpacos,12-03-2016 14:20,0,1,RUA DA SERRA,-,Despiste simples
Vila Pouca de Aguiar,26-12-2016 08:35,0,1,A24,"54,700",Despiste simples
Vila Pouca de Aguiar,12-09-2016 12:20,0,1,EN2,"24,300",Colisão frontal
Vila Pouca de Aguiar,04-11-2016 16:02,0,1,EN2,"33,600",Colisão frontal
Vila Real,14-08-2016 14:41,1,0,-,"4,000",Despiste simples
Vila Real,01-12-2016 08:20,0,1,-,-,Colisão frontal
Vila Real,26-07-2016 07:20,0,1,A24,"59,400",Colisão lateral com outro veículo em movimento
Vila Real,24-10-2016 09:15,0,1,A24,"81,180",Despiste simples
Vila Real,25-06-2016 15:00,0,1,A4,"100,100",Despiste simples
Vila Real,16-12-2016 08:30,0,1,Avenida da Universidade 0,-,Atropelamento de peões
Vila Real,23-03-2016 18:40,0,1,Avenida Europa 12,-,Atropelamento de peões
Vila Real,23-01-2016 08:45,0,2,EN15,"97,500",Colisão frontal
Vila Real,17-05-2016 15:45,0,1,EN322-1,-,Despiste com dispositivo de retenção
Vila Real,27-12-2016 13:42,0,1,EN322-1,-,Colisão com outras situações
Vila Real,03-04-2016 18:30,0,1,IP4,"79,700",Despiste com capotamento
Vila Real,13-12-2016 00:30,1,0,IP4,"92,168",Despiste com capotamento
Vila Real,23-10-2016 21:30,0,1,Praceta Meia Laranja 10,-,Despiste sem dispositivo de retenção
Vila Real,26-04-2016 09:50,0,1,Rua Cândido dos Reis 0,-,Atropelamento de peões
Vila Real,13-12-2016 08:20,0,1,"Rua D, Zona Industria Constantim, Vila Real",-,Colisão frontal
Vila Real,25-08-2016 16:30,0,1,Rua da Cheira 0,-,Despiste sem dispositivo de retenção
Vila Real,10-10-2016 10:15,0,1,Rua Professor Everardo Pitrez 0,-,Atropelamento de animais
Vila Real,11-08-2016 22:45,0,1,Rua Promotores do Circuito de Vila Real 0,-,Atropelamento de peões
Vila Real,06-07-2016 19:05,0,1,Rua Santa Iria 0,-,Colisão lateral com outro veículo em movimento
