Concelho,Datahora,M,FG,Via,Km,Natureza
Alijo,16-06-2017 09:50,1,0,EN212,"29,880",Colisão lateral com outro veículo em movimento
Alijo,31-07-2017 17:00,0,1,IC5,"41,480",Despiste simples
Boticas,15-04-2017 09:40,0,1,-,"6,000",Atropelamento de peões
Boticas,09-12-2017 19:30,0,1,-,"62,000",Despiste simples
Chaves,19-11-2017 01:44,1,0,-,-,Despiste simples
Chaves,28-12-2017 10:59,0,1,-,-,Despiste com capotamento
Chaves,18-08-2017 07:35,0,1,Avenida 5 de Outubro 00,-,Colisão frontal
Chaves,22-04-2017 12:20,0,1,Avenida Bracara Augusta 0,-,Colisão lateral com outro veículo em movimento
Chaves,18-03-2017 13:45,0,1,Avenida Dom Afonso de Bragança 0,-,Colisão frontal
Chaves,10-08-2017 23:20,0,1,Avenida Doutor Mário Soares 0.0,-,Colisão frontal
Chaves,06-10-2017 15:50,0,1,Avenida Raposeira 0,-,Atropelamento de peões
Chaves,08-04-2017 12:30,0,1,Avenida Tenente Valadim 00,-,Atropelamento de peões
Chaves,29-12-2017 18:00,1,0,EN103,"160,400",Atropelamento de peões
Chaves,30-01-2017 12:40,0,1,EN103-5,"3,600",Colisão frontal
Chaves,05-08-2017 18:15,0,1,Estrada Principal,-,Colisão frontal
Chaves,07-10-2017 18:10,0,1,Rua Joaquim José Delgado 25,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Mesao Frio,07-09-2017 22:45,1,0,EN101,"161,300",Atropelamento de peões
Montalegre,10-03-2017 11:53,1,0,-,-,Despiste simples
Montalegre,30-07-2017 16:00,0,1,-,-,Colisão lateral com outro veículo em movimento
Montalegre,15-08-2017 08:30,0,1,-,-,Despiste com capotamento
Montalegre,31-08-2017 18:50,1,0,-,-,Despiste simples
Montalegre,13-09-2017 17:00,0,1,EN103,"118,440",Despiste com capotamento
Montalegre,02-08-2017 14:53,1,0,EN311,"42,752",Atropelamento de peões
Murca,27-01-2017 07:15,0,1,-,"39,800",Despiste simples
Murca,30-03-2017 22:20,0,1,-,"77,000",Despiste com capotamento
Murca,24-03-2017 17:11,0,1,A4,"118,700",Colisão traseira com outro veículo em movimento
Murca,01-06-2017 20:05,0,1,A4,"119,800",Colisão traseira com outro veículo em movimento
Murca,29-10-2017 16:30,0,1,EN212,"19,600",Despiste simples
Murca,04-05-2017 17:50,1,0,EN212,"27,200",Despiste com capotamento
Murca,23-11-2017 11:00,0,1,EN314,"42,200",Despiste simples
Murca,05-12-2017 10:35,0,1,rotunda heroi milhões(copo),-,Colisão com veiculo ou obstáculo na faixa de rodagem
Peso da Regua,04-07-2017 17:40,1,0,-,-,Despiste simples
Peso da Regua,17-11-2017 22:45,0,1,-,-,Despiste simples
Peso da Regua,06-08-2017 06:50,0,1,Rua da Ferreirinha,-,Despiste simples
Peso da Regua,30-05-2017 19:20,0,1,Rua Senhora da Boa Passagem- Covelinhas,-,Colisão frontal
Sabrosa,11-05-2017 11:05,1,0,-,-,Despiste simples
Valpacos,27-09-2017 07:50,1,0,-,-,Colisão frontal
Vila Pouca de Aguiar,26-03-2017 19:50,0,1,A24,"40,700",Despiste simples
Vila Pouca de Aguiar,16-05-2017 18:45,1,0,EN2,"31,700",Despiste simples
Vila Pouca de Aguiar,13-04-2017 21:10,0,1,EN2,"33,658",Atropelamento de peões
Vila Pouca de Aguiar,14-10-2017 05:50,1,1,EN2,"39,300",Colisão com veiculo ou obstáculo na faixa de rodagem
Vila Pouca de Aguiar,16-01-2017 07:30,0,1,EN2,"44,000",Atropelamento de peões
Vila Pouca de Aguiar,15-01-2017 19:50,0,1,EN206,"116,563",Despiste simples
Vila Real,15-05-2017 17:00,0,1,-,-,Despiste simples
Vila Real,29-10-2017 07:30,1,0,A4,"105,900",Despiste simples
Vila Real,21-04-2017 04:00,0,2,Avenida Europa 0,-,Despiste com colisão com veículo imobil. ou obstáculo
Vila Real,21-11-2017 10:35,0,1,Avenida Noruega 0,-,Atropelamento de peões
Vila Real,28-05-2017 02:15,0,3,EN15,-,Colisão frontal
Vila Real,11-10-2017 12:10,1,0,EN304,"166,100",Colisão lateral com outro veículo em movimento
Vila Real,12-09-2017 17:20,0,1,EN304,"166,785",Colisão lateral com outro veículo em movimento
Vila Real,06-02-2017 20:40,0,1,IP4,"92,000",Colisão lateral com outro veículo em movimento
Vila Real,28-04-2017 15:50,0,1,Largo de Sta. Iria 0,-,Colisão lateral com outro veículo em movimento
Vila Real,15-06-2017 14:30,0,1,Largo do Fontanário 0,-,Despiste sem dispositivo de retenção
Vila Real,03-11-2017 18:20,0,1,Rotunda Araucária 0,-,Atropelamento de peões
Vila Real,18-03-2017 15:20,0,1,Rua da EM Paredes,-,Despiste simples
Vila Real,06-11-2017 20:25,0,1,Rua Promotores do Circuito de Vila Real 0,-,Atropelamento de peões
Vila Real,09-03-2017 17:55,0,1,Rua Santa Iria 00,-,Atropelamento de peões
