Concelho,Datahora,M,FG,Via,km,Natureza
Armamar,2010-05-08 13:00,0,1,EM520,,Colisão frontal
Carregal do Sal,2010-02-16 19:57,0,4,EN234,"71,380",Colisão frontal
Carregal do Sal,2010-02-11 16:20,0,1,IC12,"14,238",Colisão tras. c/ outro veíc. mov.
Carregal do Sal,2010-07-30 18:20,0,1,Outra Via,,Despiste simples
Castro Daire,2010-03-03 18:00,1,0,EN228,"6,900",Colisão frontal
Castro Daire,2010-03-21 04:45,0,1,EN2,"127,782",Despiste com capotamento
Castro Daire,2010-08-01 18:00,0,1,AV 25 DE JULHO,,Despiste simples
Castro Daire,2010-12-28 05:30,0,1,EN321,"57,300",Colisão frontal
Castro Daire,2010-12-27 15:30,1,0,EM - Estrada Municipal,"0,001",Despiste com capotamento
Castro Daire,2010-11-30 11:20,0,1,A24,"125,400",Colisão tras. c/ outro veíc. mov.
Castro Daire,2010-11-07 09:00,0,1,EN225,"76,700",Despiste com capotamento
Castro Daire,2010-11-15 18:35,1,1,EN228,"3,765",Colisão lat. c/outro veíc. mov.
Castro Daire,2010-08-02 01:15,0,1,EM - Estrada Municipal,,Atropelamento de peões
Castro Daire,2010-07-20 13:30,1,0,R PRINCIPAL MÕES 28,,Despiste c/col. c/veíc. imobil./obst.
Castro Daire,2010-07-15 12:30,1,0,EN225,"70,600",Colisão frontal
Cinfães,2010-06-07 17:15,0,1,R STA BARBARA,,Colisão c/veic./obstá. f. rodagem
Cinfães,2010-07-30 16:45,0,1,EM1016,,Colisão frontal
Cinfães,2010-12-04 13:40,1,3,EN222,"71,950",Despiste com capotamento
Cinfães,2010-07-31 07:05,0,2,R IGREJA,,Colisão frontal
Cinfães,2010-08-02 14:35,0,1,EM1016,,Despiste com capotamento
Lamego,2010-08-03 18:15,0,1,Avenida D. Egas Moniz 000,,Atropelamento de peões
Lamego,2010-07-11 02:00,0,1,Av. Reg. Infantaria 9 00,,Despiste simples
Lamego,2010-09-08 20:45,0,1,Avenida 5 de Outubro 0,,Atropelamento de peões
Lamego,2010-07-05 17:10,0,1,EN222,"130,200",Colisão frontal
Lamego,2010-09-14 17:51,0,1,R PD. ANTONIO DA SILVA,,Despiste simples
Lamego,2010-07-15 20:10,0,1,EN222,"121,410",Colisão lat. c/outro veíc. mov.
Lamego,2010-05-01 19:30,1,0,A24,"99,600",Desp. c/transp.disp. ret. lateral
Lamego,2010-01-02 08:30,1,0,EM - Estrada Municipal,,Despiste simples
Mangualde,2010-03-14 17:56,0,1,A25,"106,500",Despiste com capotamento
M. da Beira,2010-10-16 19:50,0,1,EM514,,Atropelamento de peões
M. da Beira,2010-07-01 19:00,0,1,R PROF CARDOSO INACIO,,Colisão frontal
M. da Beira,2010-05-18 07:30,1,0,EM - Estrada Municipal,,Despiste s/ disp. retenção
M. da Beira,2010-11-22 23:00,0,1,EN226,"43,350",Despiste simples
M. da Beira,2010-08-21 18:00,0,1,EM514,,Colisão frontal
M. da Beira,2010-08-28 17:05,0,1,EM - Estrada Municipal,,Colisão tras. c/ outro veíc. mov.
Mortágua,2010-04-04 19:30,0,1,Outra Via,,Despiste simples
Mortágua,2010-04-03 20:45,0,1,EM - Estrada Municipal,,Colisão frontal
Mortágua,2010-04-11 00:35,0,2,EN234,"47,100",Colisão frontal
Mortágua,2010-07-30 14:00,0,1,EF - Estrada Florestal,,Colisão frontal
Mortágua,2010-10-17 13:40,1,0,EM - Estrada Municipal,,Despiste com capotamento
Mortágua,2010-12-10 21:10,1,0,EM - Estrada Municipal,"0,001",Despiste simples
Nelas,2010-01-31 11:20,0,1,IC12,"21,200",Despiste com capotamento
Nelas,2010-10-30 16:05,1,4,EN231,"10,600",Colisão lat. c/outro veíc. mov.
Nelas,2010-01-04 22:00,0,1,EN231,"13,230",Despiste simples
Penedono,2010-02-08 17:30,0,2,EM506,,Colisão frontal
Penedono,2010-03-22 10:05,0,1,EN229,"14,750",Despiste simples
Resende,2010-05-22 12:27,0,1,EM - Estrada Municipal,,Despiste com capotamento
Resende,2010-10-29 17:35,0,1,EM - Estrada Municipal,,Colisão frontal
Resende,2010-06-05 19:40,0,1,EM - Estrada Municipal,,Despiste com capotamento
S.Comba Dão,2010-09-22 16:30,0,1,EN2,"206,000",Colisão com outras situações
S.Comba Dão,2010-01-07 18:15,0,1,IP3,"81,300",Despiste com capotamento
S.Comba Dão,2010-06-03 15:20,0,1,EN234,"63,600",Colisão lat. c/outro veíc. mov.
S.Comba Dão,2010-10-06 07:15,0,1,EN2,"207,650",Despiste simples
S.Comba Dão,2010-02-16 19:50,0,1,IC12,"0,280",Desp. c/transp.disp. ret. lateral
S.Comba Dão,2010-09-11 21:30,0,1,EM - Estrada Municipal,,Despiste simples
S.Comba Dão,2010-11-14 15:15,0,3,IP3,"84,200",Despiste com capotamento
