Concelho,Datahora,M,FG,Via,Km,Natureza
Armamar,08-03-2016 16:30,0,1,EN313,"86,300",Despiste com capotamento
Carregal do Sal,21-05-2016 18:50,0,1,Av. Júlio Barros Mendes,-,Despiste simples
Carregal do Sal,20-05-2016 16:41,1,3,IC12,"5,700",Despiste simples
Castro Daire,25-03-2016 17:30,0,1,Avenida Principal,-,Colisão com outras situações
Castro Daire,27-05-2016 00:30,1,0,ER321,"53,150",Colisão frontal
Cinfaes,21-05-2016 19:15,0,1,EN222,"61,200",Colisão frontal
Lamego,01-03-2016 15:00,0,1,-,-,Despiste com capotamento
Lamego,12-04-2016 06:45,0,1,EM1080,-,Despiste simples
Lamego,23-04-2016 19:30,0,1,EN222,"128,150",Despiste com capotamento
Lamego,28-03-2016 14:15,0,1,EN226,"15,400",Colisão lateral com outro veículo em movimento
Lamego,08-04-2016 14:30,0,1,EN226,"17,600",Colisão lateral com outro veículo em movimento
Lamego,18-03-2016 08:10,1,0,EN226-1,"3,200",Atropelamento de peões
Lamego,03-04-2016 12:15,0,1,EN226-1,"3,700",Despiste simples
Lamego,29-08-2016 10:30,0,1,EN226-1,"5,100",Colisão frontal
Lamego,13-12-2016 16:20,0,1,largo de Jose Constantino de Bastos,-,Atropelamento de peões
Lamego,16-01-2016 03:20,0,1,Rua Trás do Desterro 18,-,Despiste com capotamento
Lamego,02-07-2016 19:45,0,1,S/N,-,Despiste simples
Mangualde,01-07-2016 19:30,0,1,A25,"104,500",Despiste com capotamento
Mangualde,02-08-2016 05:45,0,2,A25,"108,267",Despiste simples
Mangualde,11-08-2016 06:00,0,1,A25,"108,400",Despiste com transposição do dispositivo de retenção lateral
Mangualde,07-05-2016 09:50,0,1,EN234,"97,650",Atropelamento de peões
Mangualde,17-12-2016 10:45,0,1,Estrada Nova,-,Despiste simples
Mangualde,05-09-2016 22:15,0,1,Rua Principal,-,Despiste com capotamento
Moimenta da Beira,03-07-2016 21:20,0,1,-,-,Despiste simples
Moimenta da Beira,09-05-2016 15:10,0,1,EN226,"48,000",Colisão lateral com outro veículo em movimento
Mortagua,27-03-2016 22:30,1,0,EN228,"14,200",Despiste com colisão com veículo imobil. ou obstáculo
Mortagua,05-08-2016 17:20,0,2,EN234,"52,100",Colisão com outras situações
Mortagua,28-10-2016 07:01,0,1,IP3,"72,300",Colisão traseira com outro veículo em movimento
Mortagua,13-07-2016 15:25,0,1,IP3,"72,600",Despiste com transposição do dispositivo de retenção lateral
Mortagua,31-05-2016 11:40,0,1,rua dos Colos,-,Despiste com capotamento
Nelas,15-09-2016 19:00,0,1,-,-,Colisão frontal
Nelas,24-02-2016 13:15,0,1,EN231,"12,800",Colisão frontal
Nelas,13-02-2016 00:55,0,1,EN234,"88,750",Despiste simples
Nelas,28-02-2016 16:10,0,2,EN234,"89,900",Colisão lateral com outro veículo em movimento
Nelas,06-03-2016 20:00,0,1,EN234,"95,700",Despiste simples
Nelas,19-12-2016 18:35,1,0,IC12,"21,160",Despiste com capotamento
Nelas,01-06-2016 10:15,0,1,IC12,"21,200",Colisão lateral com outro veículo em movimento
Nelas,11-07-2016 15:00,0,1,Rua da Estação,-,Despiste simples
Nelas,23-12-2016 20:10,0,1,Rua do Cruzeiro,-,Despiste simples
Oliveira de Frades,04-04-2016 16:00,0,1,EM625,-,Atropelamento de peões
Oliveira de Frades,13-01-2016 10:40,0,1,Rua dos Colégios Oliveirense,-,Atropelamento de peões
Penedono,03-03-2016 20:23,0,1,Rua da Fonte de Baixo,-,Atropelamento com fuga
Santa Comba Dao,09-01-2016 17:49,1,0,EN234,"68,500",Despiste simples
Santa Comba Dao,19-01-2016 18:20,1,2,IP3,"77,600",Colisão frontal
Santa Comba Dao,09-09-2016 12:45,0,2,IP3,"84,700",Despiste simples
Santa Comba Dao,05-08-2016 15:00,0,1,IP3,"89,400",Despiste simples
Santa Comba Dao,12-07-2016 18:20,1,0,Lugar das Minas,-,Despiste simples
Santa Comba Dao,30-06-2016 18:50,0,1,rua da bela Vista,-,Despiste simples
Sao Joao da Pesqueira,01-05-2016 14:00,0,1,EN222,"157,785",Colisão lateral com outro veículo em movimento
Sao Joao da Pesqueira,07-08-2016 22:10,0,1,rua dos Cerejais,-,Despiste simples
Sao Pedro do Sul,25-03-2016 20:45,1,0,-,-,Despiste com capotamento
Sao Pedro do Sul,13-08-2016 14:50,0,1,-,-,Colisão frontal
Sao Pedro do Sul,08-09-2016 16:50,0,1,EN16,"68,700",Despiste simples
Sao Pedro do Sul,24-11-2016 18:00,1,0,EN16,"70,300",Atropelamento de peões
Sao Pedro do Sul,06-05-2016 13:15,0,3,EN227,"61,600",Colisão frontal
Sao Pedro do Sul,05-07-2016 11:40,0,1,EN227,"62,300",Colisão lateral com outro veículo em movimento
Sao Pedro do Sul,29-01-2016 08:15,0,1,EN228,"22,850",Despiste simples
Sao Pedro do Sul,20-06-2016 11:00,0,1,Largo do Hospital - São Pedro do Sul,-,Atropelamento de peões
Sao Pedro do Sul,22-02-2016 09:20,0,1,Rua Padre José Rodrigues Barros - Carvalhais - São Pedro do Sul,-,Colisão lateral com outro veículo em movimento
Satao,11-02-2016 12:45,0,1,-,-,Despiste simples
Satao,06-05-2016 06:15,0,2,-,-,Despiste com capotamento
Satao,22-12-2016 17:50,1,0,Avenida Comendador Elisio Ferreira Afonso,-,Atropelamento com fuga
Satao,16-12-2016 22:50,0,1,EN329,"9,900",Colisão lateral com outro veículo em movimento
Sernancelhe,25-06-2016 21:15,0,1,-,-,Despiste simples
Sernancelhe,20-08-2016 16:10,0,1,-,-,Despiste simples
Sernancelhe,08-08-2016 06:00,0,1,EN226,"56,400",Despiste com transposição do dispositivo de retenção lateral
Tarouca,22-11-2016 08:45,0,1,EN329,"7,700",Colisão frontal
Tarouca,21-09-2016 15:40,0,1,Rua da Vista Alegre - Gouviães - Tarouca,-,Colisão frontal
Tondela,24-07-2016 16:50,1,0,-,-,Colisão lateral com outro veículo em movimento
Tondela,23-11-2016 10:50,0,1,-,-,Colisão traseira com outro veículo em movimento
Tondela,10-02-2016 14:05,0,1,Ava do Salgueiral - Molelos,-,Colisão frontal
Tondela,25-03-2016 18:10,1,0,avenida dr. arménio leite marques - tondela,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Tondela,10-04-2016 15:25,0,1,EM627,"377,000",Despiste simples
Tondela,04-09-2016 17:50,0,1,EN230,"58,200",Despiste simples
Tondela,03-10-2016 10:45,1,0,IP3,"93,600",Colisão frontal
