Concelho Datahora M* FG* Km Via,Natureza
"Alandroal 2005:03:01 16:20:00 4 0 30,600 EN255",Despiste c/ capotamento
"Alandroal 2005:04:02 21:20:00 0 1 14,600 EN255",Despiste simples
"Alandroal 2005:06:04 14:35:00 0 1 35,560 EN255",Despiste simples
Alandroal 2005:09:15 22:42:00 0 1 EM541,Despiste c/ capotamento
"Alandroal 2005:10:06 18:15:00 0 1 31,700 EN373",Despiste c/ capotamento
"Arraiolos 2005:01:26 15:20:00 1 0 102,260 EN4",Col. lat. c/veíc. em mov.
"Arraiolos 2005:08:06 02:20:00 1 0 129,715 EN4",Despiste simples
"Arraiolos 2005:11:06 18:00:00 0 1 111,000 EN4",Colisãooutras situações
"Arraiolos 2005:12:19 14:00:00 0 1 108,000 EN4",Col. lat. c/veíc. em mov.
"Borba 2005:02:19 13:15:00 0 1 116,350 A6",Col. c/veic. ou obst. faixa rod.
"Borba 2005:10:09 18:30:00 1 0 158,715 EN4",Col. lat. c/veíc. em mov.
"Borba 2005:10:12 02:50:00 1 0 154,750 EN4",Desp. c/transp.disp. ret. lateral
"Estremoz 2005:01:02 10:15:00 1 0 88,417 A6",Despiste c/ capotamento
"Estremoz 2005:01:09 19:00:00 3 0 141,737 EN4",Colisão frontal
Estremoz 2005:01:10 13:30:00 1 0 EN18,Atropelamento de peões
"Estremoz 2005:01:12 21:15:00 1 0 145,200 EN4",Atropelamento de peões
"Estremoz 2005:02:12 20:10:00 0 1 2,300 EM1026",Despiste simples
"Estremoz 2005:02:17 04:10:00 0 1 88,500 A6",Despiste com capotamento
"Estremoz 2005:04:26 17:15:00 0 1 241,600 EN18",Col. lat. c/veíc. em mov.
"Estremoz 2005:05:12 13:40:00 0 1 92,720 A6",Despiste com capotamento
Estremoz 2005:06:22 13:30:00 1 0 FERREA,Col. c/veic. ou obst. faixa rod.
"Estremoz 2005:07:30 13:30:00 0 1 145,650 EN4",Col. lat. c/veíc. em mov.
"Estremoz 2005:09:12 15:20:00 1 1 150,952 EN4",Colisão frontal
Estremoz 2005:10:23 19:20:00 1 0 Estrada da Quinta do Macho,Despiste c/ capotamento
"Estremoz 2005:10:26 17:15:00 2 1 215,000 IP2",Colisão frontal
"Estremoz 2005:12:17 21:30:00 1 1 4,500 EM1026",Despiste simples
Évora 2005:01:07 08:35:00 0 1 Av. S. Bento,Atropelamento de peões
Évora 2005:01:10 20:40:00 0 1 Av. Fernando Sena,Atropelamento de peões
Évora 2005:01:14 09:45:00 0 1 Av. D. Leonor Fernandes,Atropelamento de peões
Évora 2005:01:21 08:30:00 0 1 Av. Gago Coutinho,Col. lat. c/veíc. em mov.
"Évora 2005:01:28 01:15:00 0 1 248,400 EN18",Despiste simples
Évora 2005:02:10 16:40:00 1 0 Rot. Aviz/Rot. Lagoa,Despiste simples
Évora 2005:02:14 12:40:00 0 1 Pç. Liberdade,Despiste c/ capotamento
"Évora 2005:02:20 16:25:00 1 1 58,500 A6",Despiste c/ capotamento
Évora 2005:02:22 10:10:00 0 1 EM527,Desp. c/col. c/veíc. imobil./obst.
Évora 2005:03:02 10:45:00 0 1 EM - Estrada Municipal,Col. lat. c/veíc. em mov.
"Évora 2005:03:09 14:00:00 0 1 51,000 EN254",Col. traseira c/veíc. em mov.
"Évora 2005:03:15 07:00:00 1 0 2,235 EN256",Col. lat. c/veíc. em mov.
"Évora 2005:03:28 00:30:00 0 2 81,550 EN380",Despiste c/ capotamento
"Évora 2005:04:07 12:45:00 0 2 286,800 IP2",Despiste simples
Évora 2005:06:10 01:30:00 1 0 EM1184,Despiste s/disp. de retenção
"Évora 2005:06:15 19:40:00 0 1 1,500 EN114-4",Col. traseira c/veíc. em mov.
"Évora 2005:06:21 11:05:00 0 1 272,950 EN18",Col. c/veic. ou obst. faixa rod.
"Évora 2005:06:23 11:30:00 1 1 263,173 EN18",Desp. c/col. c/veíc. imobil./obst.
"Évora 2005:07:02 07:05:00 0 1 69,400 EM527",Despiste com capotamento
"Évora 2005:07:05 21:20:00 1 0 8,900 EN114-4",Despiste simples
"Évora 2005:07:24 05:00:00 0 1 0,900 EM1087",Despiste simples
"Évora 2005:07:24 19:25:00 0 1 90,800 EN370",Desp. c/col. c/veíc. imobil./obst.
"Évora 2005:07:31 18:40:00 0 1 175,000 EN114",Despiste simples
"Évora 2005:08:14 03:30:00 1 1 176,390 EN114",Col. traseira c/veíc. em mov.
"Évora 2005:08:26 22:40:00 0 2 271,826 EN18",Colisão frontal
Évora 2005:09:03 19:32:00 0 1 Av. Fernando Pessoa,Colisão frontal
Évora 2005:10:02 14:30:00 0 2 VAR - Variante,Desp. c/col. c/veíc. imobil./obst.
Évora 2005:10:13 13:10:00 0 1 R. António Passaporte,Col. lat. c/veíc. em mov.
Évora 2005:10:23 00:30:00 0 1 Portas Lagoa,Col. lat. c/veíc. em mov.
"Évora 2005:10:31 09:05:00 0 2 257,720 EN18",Col. lat. c/veíc. em mov.
"Évora 2005:12:10 11:50:00 0 1 285,400 IP2",Colisão frontal
