Concelho,Datahora,M,FG,Via,Km,Natureza
Alandroal,20-04-2013 05:30,1,0,EN255,"17,053",Despiste com capotamento
Alandroal,05-09-2013 19:55,0,1,EN255,"26,450",Despiste simples
Alandroal,15-12-2013 10:30,0,1,Rua Manuel Viana Xavier Rodrigues 2,-,Atropelamento de peões
Arraiolos,07-05-2013 19:40,1,1,EM527-1,"7,000",Colisão lateral com outro veículo em movimento
Arraiolos,28-06-2013 19:30,0,1,EN370,"61,650",Colisão com fuga
Arraiolos,04-07-2013 02:20,0,1,EN4,"100,200",Despiste com transposição do dispositivo de retenção lateral
Arraiolos,09-09-2013 15:00,0,2,EN4,"107,200",Despiste simples
Arraiolos,09-11-2013 21:25,0,1,EN4,"116,081",Colisão traseira com outro veículo em movimento
Arraiolos,18-03-2013 07:50,1,0,EN4,"122,627",Colisão lateral com outro veículo em movimento
Arraiolos,27-07-2013 21:00,0,1,ER370,"64,430",Colisão lateral com outro veículo em movimento
Borba,01-08-2013 15:20,0,1,-,"0,200",Despiste simples
Borba,15-07-2013 06:50,1,2,EN4,"153,922",Colisão frontal
Borba,13-11-2013 16:52,0,3,EN4,"159,431",Colisão traseira com outro veículo em movimento
Borba,25-02-2013 16:30,0,1,EN4,"160,780",Despiste com dispositivo de retenção
Estremoz,16-11-2013 17:45,0,1,-,-,Atropelamento de peões
Estremoz,21-11-2013 08:15,0,1,Caminho Runas,-,Atropelamento de peões
Estremoz,17-05-2013 23:00,1,0,EN18,"238,418",Despiste simples
Estremoz,10-09-2013 07:35,1,0,EN245,"66,128",Colisão frontal
Estremoz,16-03-2013 20:26,0,1,EN4,"151,900",Despiste com capotamento
Estremoz,19-02-2013 12:20,0,1,EN4,"152,033",Colisão lateral com outro veículo em movimento
Estremoz,01-07-2013 16:45,0,1,IP2,"222,070",Despiste com capotamento
Estremoz,27-03-2013 11:52,1,0,Largo Liberdade 12,-,Atropelamento de peões
Evora,21-05-2013 16:49,0,1,A6,"59,000",Despiste simples
Evora,15-06-2013 12:45,0,1,Avenida Tulio Espanca s/n,-,Colisão traseira com outro veículo em movimento
Evora,27-05-2013 19:45,0,1,EN114,"179,331",Colisão com outras situações
Evora,25-12-2013 21:00,4,4,EN114,"185,500",Colisão frontal
Evora,06-07-2013 19:30,0,1,EN114-4,"5,300",Colisão lateral com outro veículo em movimento
Evora,04-11-2013 00:05,0,1,EN18,"260,423",Despiste simples
Evora,06-07-2013 22:10,0,1,EN254,"49,500",Despiste com colisão com veículo imobil. ou obstáculo
Evora,26-01-2013 10:20,1,0,EN254,"66,106",Colisão frontal
Evora,21-09-2013 05:40,0,1,EN256,"1,183",Despiste simples
Evora,19-03-2013 15:30,0,1,EN370,"79,200",Despiste simples
Evora,15-06-2013 10:45,1,0,EN380,"85,920",Colisão com fuga
Evora,16-06-2013 05:05,2,0,IP2,"287,390",Colisão frontal
Evora,11-06-2013 00:10,0,1,IP2,"288,000",Despiste simples
Evora,27-01-2013 16:50,0,1,Rua 25 de Abril,-,Despiste simples
Evora,26-07-2013 16:40,0,1,Rua Fernanda Seno 1,-,Atropelamento de peões
Evora,11-07-2013 15:00,0,1,VAR-SUL,-,Despiste sem dispositivo de retenção
Montemor-o-Novo,16-06-2013 19:45,1,0,-,-,Despiste com capotamento
Montemor-o-Novo,22-08-2013 22:00,0,1,-,-,Colisão lateral com outro veículo em movimento
Montemor-o-Novo,03-09-2013 20:45,0,1,-,-,Colisão frontal
Montemor-o-Novo,26-11-2013 18:40,0,1,-,-,Atropelamento de peões
Montemor-o-Novo,04-03-2013 10:15,1,2,A6,"51,468",Despiste com capotamento
Montemor-o-Novo,22-11-2013 20:35,1,0,EM519,-,Despiste simples
Montemor-o-Novo,28-07-2013 08:05,0,1,EN114,"141,700",Despiste com capotamento
Montemor-o-Novo,22-08-2013 19:15,0,1,EN114,"148,800",Despiste simples
Montemor-o-Novo,14-06-2013 19:40,0,1,EN114,"168,126",Colisão frontal
Montemor-o-Novo,13-09-2013 22:50,0,1,EN253,"56,700",Despiste com capotamento
Montemor-o-Novo,29-09-2013 12:00,0,2,EN4,"70,273",Colisão frontal
Montemor-o-Novo,16-09-2013 18:15,0,1,EN4,"76,960",Colisão traseira com outro veículo em movimento
Montemor-o-Novo,05-12-2013 01:20,0,1,EN4,"87,350",Despiste com capotamento
Montemor-o-Novo,28-03-2013 12:20,0,1,ER2,"502,380",Colisão lateral com outro veículo em movimento
Mora,20-01-2013 01:45,0,1,EN251,"75,320",Despiste com capotamento
Mora,06-08-2013 10:10,0,1,Rua 5 de Outubro,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Mora,25-04-2013 19:55,0,1,Rua da Fonte 16,-,Despiste com colisão com veículo imobil. ou obstáculo
Mora,26-07-2013 14:45,0,1,Rua do Barco,-,Despiste simples
Portel,26-01-2013 06:25,1,0,EN384,"36,680",Despiste simples
Portel,27-12-2013 10:45,0,1,ER384,"13,960",Colisão lateral com outro veículo em movimento
Portel,19-05-2013 00:10,0,1,IP2,"296,982",Colisão frontal
Redondo,01-09-2013 10:20,1,0,-,-,Despiste simples
Redondo,06-08-2013 04:38,0,1,ER381,"23,400",Despiste simples
Reguengos de Monsaraz,05-01-2013 17:15,0,1,-,-,Colisão traseira com outro veículo em movimento
Reguengos de Monsaraz,28-08-2013 08:45,1,0,-,-,Despiste simples
Reguengos de Monsaraz,30-06-2013 17:30,0,1,Rua das Flores 8,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Vendas Novas,24-11-2013 11:15,0,1,-,-,Despiste simples
Vendas Novas,05-05-2013 12:15,0,1,A6,"8,450",Despiste simples
Vendas Novas,06-07-2013 20:15,0,1,Ava 25 de Abril,-,Colisão traseira com outro veículo em movimento
Vendas Novas,02-10-2013 17:10,0,1,Rua do Polígono 1,-,Atropelamento de peões
Vendas Novas,27-06-2013 20:20,1,0,Rua Luís António Firmino 106,-,Despiste simples
Viana do Alentejo,28-03-2013 15:44,1,0,EN2,"556,783",Colisão com veiculo ou obstáculo na faixa de rodagem
Vila Vicosa,28-06-2013 08:20,0,1,EM508,-,Colisão traseira com outro veículo em movimento
Vila Vicosa,10-02-2013 15:00,1,1,EN255,"6,843",Colisão lateral com outro veículo em movimento
Vila Vicosa,10-03-2013 05:30,0,1,EN255,"11,510",Despiste com capotamento
