Concelho,Datahora,M,FG,Via,Km,Natureza
Alandroal,05-04-2014 06:20,0,1,EN373,"49,700",Despiste simples
Arraiolos,09-03-2014 17:00,1,1,EM1013,"6,400",Despiste com capotamento
Arraiolos,30-10-2014 18:30,0,1,EN4,"96,118",Colisão frontal
Arraiolos,13-11-2014 07:54,1,0,EN4,"99,484",Colisão lateral com outro veículo em movimento
Arraiolos,21-08-2014 19:45,0,1,EN4,"103,420",Atropelamento de peões
Arraiolos,15-10-2014 10:25,0,1,EN4,"104,200",Atropelamento de peões
Borba,01-03-2014 18:50,1,0,EN4,"154,745",Atropelamento de peões
Borba,26-12-2014 12:45,0,1,EN4,"157,335",Colisão lateral com outro veículo em movimento
Estremoz,12-03-2014 17:17,0,1,-,-,Despiste simples
Estremoz,07-12-2014 15:45,0,1,EM508,"0,400",Despiste simples
Estremoz,14-12-2014 14:10,0,1,EN18,"235,204",Despiste simples
Evora,07-11-2014 22:46,1,0,Caminho Municipal 1081 0,-,Despiste com capotamento
Evora,23-12-2014 19:40,0,1,EM1087,-,Despiste simples
Evora,27-07-2014 03:15,0,1,EM527,-,Despiste simples
Evora,07-02-2014 06:25,0,1,EN254,"39,760",Despiste simples
Evora,26-08-2014 09:15,0,1,EN254,"51,017",Colisão frontal
Evora,23-06-2014 16:20,2,0,EN256,"8,700",Colisão frontal
Evora,26-09-2014 06:37,1,0,EN370,"67,235",Despiste com capotamento
Evora,11-01-2014 17:00,0,1,EN380,"88,290",Despiste simples
Evora,22-04-2014 10:17,0,1,Estrada Chainha 0,-,Atropelamento de peões
Montemor-o-Novo,13-01-2014 15:00,1,1,A6,"31,386",Despiste com capotamento
Montemor-o-Novo,01-11-2014 23:00,0,1,EM530,-,Despiste simples
Montemor-o-Novo,15-08-2014 08:00,0,1,EN114,"137,675",Despiste com capotamento
Montemor-o-Novo,03-11-2014 13:26,1,0,EN114,"171,148",Colisão frontal
Montemor-o-Novo,24-01-2014 11:10,0,1,EN114,"182,313",Colisão lateral com outro veículo em movimento
Montemor-o-Novo,03-01-2014 23:00,0,1,EN4,"71,800",Despiste simples
Montemor-o-Novo,05-07-2014 20:30,0,1,ER2,"501,250",Despiste simples
Montemor-o-Novo,17-09-2014 13:45,0,1,Rua da Liberdade 24,-,Atropelamento de peões
Mora,15-06-2014 16:30,0,1,Ava do Fluviário,-,Despiste com colisão com veículo imobil. ou obstáculo
Mora,31-03-2014 12:30,0,1,EM1092,-,Despiste com capotamento
Mora,19-05-2014 07:30,0,1,EN251,"79,100",Despiste simples
Mora,10-11-2014 08:15,1,0,EN370,"44,890",Despiste com colisão com veículo imobil. ou obstáculo
Portel,12-11-2014 09:45,0,1,EN384,"23,000",Colisão traseira com outro veículo em movimento
Portel,06-01-2014 17:50,1,0,IP2,"302,796",Atropelamento de peões
Portel,23-07-2014 12:20,1,0,IP2,"312,686",Colisão traseira com outro veículo em movimento
Redondo,04-10-2014 09:20,0,1,Rua Júlio Domingos Franco 30,-,Despiste simples
Reguengos de Monsaraz,11-11-2014 09:00,0,1,CAM.MUNIC.,"0,350",Colisão com fuga
Reguengos de Monsaraz,06-04-2014 21:25,2,0,EM514,"11,630",Despiste com capotamento
Reguengos de Monsaraz,20-06-2014 16:57,0,1,EN255,"55,531",Despiste simples
Reguengos de Monsaraz,04-08-2014 07:05,0,1,ER255,"53,984",Colisão traseira com outro veículo em movimento
Reguengos de Monsaraz,26-12-2014 15:00,0,1,Rua Demostenes Espanca 39,-,Despiste simples
Reguengos de Monsaraz,02-02-2014 17:35,0,1,Rua dos Castelhanos 2,-,Despiste simples
Vendas Novas,17-05-2014 21:25,0,1,-,-,Colisão com veiculo ou obstáculo na faixa de rodagem
Vendas Novas,23-06-2014 20:00,1,0,EN4,"49,795",Colisão frontal
Vendas Novas,02-02-2014 19:15,0,1,EN4,"63,950",Atropelamento de peões
Vendas Novas,14-04-2014 10:30,0,1,Rua António Coelho de Oliveira 1,-,Colisão lateral com outro veículo em movimento
Viana do Alentejo,14-09-2014 00:42,0,1,EM516,-,Despiste simples
Viana do Alentejo,25-08-2014 02:15,0,1,EN254,"68,200",Despiste simples
Viana do Alentejo,05-12-2014 19:26,0,1,EN384,"2,300",Colisão lateral com outro veículo em movimento
Viana do Alentejo,09-10-2014 09:50,0,1,ER254,"77,920",Despiste sem dispositivo de retenção
Vila Vicosa,10-02-2014 19:50,0,1,EN254,"7,250",Atropelamento de animais
Vila Vicosa,05-01-2014 20:08,0,1,Rua Doutor Couto Jardim,-,Atropelamento de peões
